(1, 1, null, null, ../../assets/recipe-icons/maple-lumber.png, Maple Lumber, 1, Maple Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(15, 9, 10, null, ../../assets/recipe-icons/round-shield.png, Round Shield, 1, Maple Lumber, 1, Bronze Rivets, 2, Bronze Ingot, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(16, 10, null, null, ../../assets/recipe-icons/ash-lumber.png, Ash Lumber, 1, Ash Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(17, 10, 10, null, ../../assets/recipe-icons/ash-macuahuitl.png, Ash Macuahuitl, 1, Ash Lumber, 1, Obsidian, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(18, 10, 10, null, ../../assets/recipe-icons/ramhorn-harpoon.png, Ramhorn Harpoon, 1, Ash Lumber, 1, Ram Horn, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(19, 11, 11, null, ../../assets/recipe-icons/ragstone-grinding-wheel.png, Ragstone Grinding Wheel, 1, Ash Lumber, 1, Bronze Ingot, 1, Ragstone, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(20, 12, 11, null, ../../assets/recipe-icons/ash-spinning-wheel.png, Ash Spinning Wheel, 1, Ash Lumber, 2, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(21, 12, 12, null, ../../assets/recipe-icons/amateur's-fishing-rod.png, Amateur's Fishing Rod, 1, Ash Lumber, 1, Ash Branch, 1, Bronze Ingot, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(22, 13, 12, null, ../../assets/recipe-icons/feathered-harpoon.png, Feathered Harpoon, 1, Ash Lumber, 1, Crow Feather, 1, Soiled Femur, 1, Animal Glue, 1, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(23, 13, 14, null, ../../assets/recipe-icons/ash-radical.png, Ash Radical, 1, Ash Branch, 1, Bone Chip, 1, Beastkin Blood, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(24, 14, 14, null, ../../assets/recipe-icons/brass-spear.png, Brass Spear, 1, Maple Lumber, 1, Fish Oil, 1, Bronze Ingot, 1, Brass Ingot, 1, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(25, 14, 16, null, ../../assets/recipe-icons/ash-mask.png, Ash Mask, 1, Ash Lumber, 1, Leather, 1, Fish Oil, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(26, 14, 15, null, ../../assets/recipe-icons/ash-pattens.png, Ash Pattens, 1, Ash Lumber, 1, Undyed Hempen Cloth, 1, Leather, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(27, 15, 13, null, ../../assets/recipe-icons/wrapped-maple-longbow.png, Wrapped Maple Longbow, 1, Maple Longbow, 1, Ash Branch, 2, Hard Leather, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(28, 15, 15, null, ../../assets/recipe-icons/ash-shortbow.png, Ash Shortbow, 1, Ash Lumber, 1, Ash Branch, 1, Hempen Yarn, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(29, 15, 17, null, ../../assets/recipe-icons/square-ash-shield.png, Square Ash Shield, 1, Ash Lumber, 1, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(30, 16, null, null, ../../assets/recipe-icons/elm-lumber.png, Elm Lumber, 1, Elm Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(31, 16, 15, null, ../../assets/recipe-icons/elm-fishing-rod.png, Elm Fishing Rod, 1, Elm Lumber, 1, Ash Branch, 1, Iron Ingot, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(32, 17, 16, null, ../../assets/recipe-icons/iron-spear.png, Iron Spear, 1, Elm Lumber, 1, Iron Ingot, 1, Clove Oil, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(33, 18, 17, null, ../../assets/recipe-icons/elm-cane.png, Elm Cane, 1, Elm Lumber, 1, Growth Formula Beta, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(34, 19, 18, null, ../../assets/recipe-icons/elm-longbow.png, Elm Longbow, 1, Elm Lumber, 1, Ash Branch, 2, Cotton Yarn, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(35, 19, 20, null, ../../assets/recipe-icons/elm-crook.png, Elm Crook, 1, Elm Lumber, 1, Beastkin Blood, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(36, 19, 19, null, ../../assets/recipe-icons/initiate's-spinning-wheel.png, Initiate's Spinning Wheel, 1, Elm Lumber, 2, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(37, 20, null, null, ../../assets/recipe-icons/blank-grade-1-orchestrion-roll.png, Blank Grade 1 Orchestrion Roll, 1, Moko Grass, 1, Elm Log, 1, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(38, 20, 20, null, ../../assets/recipe-icons/iron-lance.png, Iron Lance, 1, Elm Lumber, 1, Iron Ingot, 2, Hard Leather, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(39, 20, 20, null, ../../assets/recipe-icons/initiate's-fishing-rod.png, Initiate's Fishing Rod, 1, Elm Lumber, 1, Yew Branch, 1, Iron Ingot, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(40, 20, 20, null, ../../assets/recipe-icons/ash-mask-(lapis-lazuli).png, Ash Mask (Lapis Lazuli), 1, Ash Lumber, 1, Lapis Lazuli, 1, Clove Oil, 1, Leather, 1, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(41, 21, null, null, ../../assets/recipe-icons/yew-lumber.png, Yew Lumber, 1, Yew Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(42, 21, 21, null, ../../assets/recipe-icons/elm-velocity-bow.png, Elm Velocity Bow, 1, Ash Shortbow, 1, Elm Lumber, 1, Crow Feather, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 1),
(43, 21, 21, null, ../../assets/recipe-icons/yew-radical.png, Yew Radical, 1, Yew Branch, 1, Sunrise Tellin, 1, Beastkin Blood, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 1),
(44, 22, 23, null, ../../assets/recipe-icons/iron-guisarme.png, Iron Guisarme, 1, Elm Lumber, 1, Iron Ingot, 1, Animal Glue, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 1),
(45, 22, 21, null, ../../assets/recipe-icons/mudstone-grinding-wheel.png, Mudstone Grinding Wheel, 1, Elm Lumber, 1, Iron Ingot, 1, Mudstone, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 1),
(46, 23, 23, null, ../../assets/recipe-icons/elm-spinning-wheel.png, Elm Spinning Wheel, 1, Elm Lumber, 2, Iron Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 1),
(47, 24, 24, null, ../../assets/recipe-icons/wrapped-elm-longbow.png, Wrapped Elm Longbow, 1, Wrapped Maple Longbow, 1, Elm Lumber, 1, Hard Leather, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(48, 24, 25, null, ../../assets/recipe-icons/yew-crook.png, Yew Crook, 1, Yew Lumber, 1, Beastkin Blood, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(49, 24, 24, null, ../../assets/recipe-icons/elm-pattens.png, Elm Pattens, 1, Elm Lumber, 1, Undyed Cotton Cloth, 1, Hard Leather, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(50, 25, null, null, ../../assets/recipe-icons/walnut-lumber.png, Walnut Lumber, 1, Walnut Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(51, 25, 25, null, ../../assets/recipe-icons/initiate's-grinding-wheel.png, Initiate's Grinding Wheel, 1, Walnut Lumber, 1, Iron Ingot, 1, Mudstone, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(52, 25, 25, null, ../../assets/recipe-icons/yew-fishing-rod.png, Yew Fishing Rod, 1, Yew Lumber, 1, Yew Branch, 1, Iron Ingot, 1, Jellyfish Humours, 1, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(53, 26, 28, null, ../../assets/recipe-icons/ash-composite-bow.png, Ash Composite Bow, 1, Ash Lumber, 3, Antelope Horn, 1, Animal Sinew, 1, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(54, 26, 23, null, ../../assets/recipe-icons/pastoral-yew-cane.png, Pastoral Yew Cane, 1, Yew Lumber, 1, Growth Formula Beta, 1, Brass Ingot, 1, Beastkin Blood, 1, Hempen Yarn, 1, null, null, Wind Shard, 2, Ice Shard, 2),
(55, 26, 25, null, ../../assets/recipe-icons/viper-crested-round-shield.png, Viper-crested Round Shield, 1, Walnut Lumber, 1, Aldgoat Leather, 1, Iron Ingot, 1, Iron Rivets, 1, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(56, 27, 26, null, ../../assets/recipe-icons/silver-battle-fork.png, Silver Battle Fork, 1, Walnut Lumber, 1, Silver Ingot, 1, Crab Oil, 1, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(57, 28, 28, null, ../../assets/recipe-icons/elm-macuahuitl.png, Elm Macuahuitl, 1, Elm Lumber, 2, Obsidian, 4, null, null, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(58, 29, 29, null, ../../assets/recipe-icons/steel-halberd.png, Steel Halberd, 1, Walnut Lumber, 1, Aldgoat Leather, 1, Steel Ingot, 1, Iron Ingot, 1, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(59, 29, 29, null, ../../assets/recipe-icons/walnut-cane.png, Walnut Cane, 1, Walnut Lumber, 1, Growth Formula Beta, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(60, 29, 29, null, ../../assets/recipe-icons/staghorn-fishing-rod.png, Staghorn Fishing Rod, 1, Walnut Lumber, 1, Yew Branch, 1, Steel Ingot, 1, Antelope Horn, 1, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(61, 30, 31, null, ../../assets/recipe-icons/steel-spear.png, Steel Spear, 1, Walnut Lumber, 1, Steel Ingot, 1, Crab Oil, 1, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(62, 30, 32, null, ../../assets/recipe-icons/plumed-yew-crook.png, Plumed Yew Crook, 1, Yew Crook, 1, Scalekin Blood, 1, Crow Feather, 1, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(63, 31, 32, null, ../../assets/recipe-icons/ash-cavalry-bow.png, Ash Cavalry Bow, 1, Ash Lumber, 2, Oak Branch, 1, Steel Ingot, 1, Beast Sinew, 1, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(64, 32, null, null, ../../assets/recipe-icons/oak-lumber.png, Oak Lumber, 1, Oak Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(65, 32, 32, null, ../../assets/recipe-icons/walnut-fishing-rod.png, Walnut Fishing Rod, 1, Walnut Lumber, 1, Oak Branch, 1, Steel Ingot, 1, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(66, 33, 32, null, ../../assets/recipe-icons/walnut-spinning-wheel.png, Walnut Spinning Wheel, 1, Walnut Lumber, 2, Steel Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(67, 33, 33, null, ../../assets/recipe-icons/walnut-pattens.png, Walnut Pattens, 1, Walnut Lumber, 1, Undyed Velveteen, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(68, 34, 34, null, ../../assets/recipe-icons/walnut-macuahuitl.png, Walnut Macuahuitl, 1, Walnut Lumber, 1, Wyvern Obsidian, 2, null, null, null, null, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(69, 34, 33, null, ../../assets/recipe-icons/siltstone-grinding-wheel.png, Siltstone Grinding Wheel, 1, Walnut Lumber, 1, Steel Ingot, 1, Siltstone, 1, null, null, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(70, 35, 34, null, ../../assets/recipe-icons/heavy-steel-lance.png, Heavy Steel Lance, 1, Walnut Lumber, 1, Toad Leather, 1, Steel Ingot, 2, null, null, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(71, 35, 35, null, ../../assets/recipe-icons/oak-longbow.png, Oak Longbow, 1, Oak Lumber, 1, Ash Branch, 2, Linen Yarn, 1, Steel Ingot, 1, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(72, 35, 35, null, ../../assets/recipe-icons/oak-radical.png, Oak Radical, 1, Oak Branch, 1, Sunrise Tellin, 1, Scalekin Blood, 1, null, null, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(73, 35, 38, null, ../../assets/recipe-icons/vintage-square-shield.png, Vintage Square Shield, 1, Worm-eaten Square Shield, 1, Elm Lumber, 1, Leather, 1, Bronze Rivets, 1, Cider Vinegar, 1, null, null, Wind Crystal, 1, null, null),
(74, 36, 37, null, ../../assets/recipe-icons/yarzonshell-harpoon.png, Yarzonshell Harpoon, 1, Walnut Lumber, 1, Wildfowl Feather, 1, Yellow Yarzon Leg, 1, Fish Glue, 1, null, null, null, null, Wind Shard, 4, Ice Shard, 4),
(75, 36, 37, null, ../../assets/recipe-icons/mythril-cavalry-bow.png, Mythril Cavalry Bow, 1, Oak Lumber, 2, Oak Branch, 1, Mythril Ingot, 1, Diremite Sinew, 1, null, null, null, null, Wind Shard, 4, Ice Shard, 4),
(76, 37, 38, null, ../../assets/recipe-icons/pastoral-oak-cane.png, Pastoral Oak Cane, 1, Oak Lumber, 1, Growth Formula Gamma, 1, Brass Ingot, 1, Scalekin Blood, 1, Cotton Yarn, 1, null, null, Wind Shard, 4, Ice Shard, 4),
(77, 37, 37, null, ../../assets/recipe-icons/horn-fishing-rod.png, Horn Fishing Rod, 1, Walnut Fishing Rod, 1, Steel Ingot, 1, Fish Oil, 1, Aldgoat Horn, 1, null, null, null, null, Wind Shard, 4, Ice Shard, 4),
(78, 38, 40, null, ../../assets/recipe-icons/mythril-lance.png, Mythril Lance, 1, Oak Lumber, 1, Boar Leather, 1, Mythril Ingot, 2, null, null, null, null, null, null, Wind Shard, 4, Ice Shard, 4),
(79, 38, 41, null, ../../assets/recipe-icons/vintage-cane.png, Vintage Cane, 1, Splintered Cane, 1, Growth Formula Gamma, 1, null, null, null, null, null, null, null, null, Wind Crystal, 1, null, null),
(80, 39, null, null, ../../assets/recipe-icons/mahogany-lumber.png, Mahogany Lumber, 1, Mahogany Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 5, null, null),
(81, 39, 43, null, ../../assets/recipe-icons/oak-pattens.png, Oak Pattens, 1, Oak Lumber, 1, Undyed Woolen Cloth, 1, Boar Leather, 1, null, null, null, null, null, null, Wind Shard, 5, Ice Shard, 4),
(82, 40, 40, null, ../../assets/recipe-icons/oak-composite-bow.png, Oak Composite Bow, 1, Oak Lumber, 3, Beast Sinew, 1, Aldgoat Horn, 1, null, null, null, null, null, null, Wind Shard, 5, Ice Shard, 4),
(83, 40, 40, null, ../../assets/recipe-icons/mahogany-spinning-wheel.png, Mahogany Spinning Wheel, 1, Mahogany Lumber, 2, Mythril Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 5, Ice Shard, 4),
(84, 40, 40, null, ../../assets/recipe-icons/mahogany-fishing-rod.png, Mahogany Fishing Rod, 1, Mahogany Lumber, 1, Oak Branch, 1, Mythril Ingot, 1, null, null, null, null, null, null, Wind Shard, 5, Ice Shard, 4),
(85, 41, 41, null, ../../assets/recipe-icons/plumed-oak-macuahuitl.png, Plumed Oak Macuahuitl, 1, Oak Lumber, 1, Wyvern Obsidian, 3, Wildfowl Feather, 1, null, null, null, null, null, null, Wind Shard, 5, Ice Shard, 4),
(86, 42, 41, null, ../../assets/recipe-icons/sprouting-rosewood-radical.png, Sprouting Rosewood Radical, 1, Rosewood Branch, 1, Wyvern Obsidian, 1, Spoken Blood, 1, null, null, null, null, null, null, Wind Shard, 5, Ice Shard, 5),
(87, 43, 43, null, ../../assets/recipe-icons/garnet-grinding-wheel.png, Garnet Grinding Wheel, 1, Mythril Ingot, 1, Raw Garnet, 1, Mahogany Lumber, 1, null, null, null, null, null, null, Wind Shard, 5, Ice Shard, 5),
(88, 43, 46, null, ../../assets/recipe-icons/vintage-round-shield.png, Vintage Round Shield, 1, Rotting Round Shield, 1, Mahogany Lumber, 2, Ragstone, 1, Iron Rivets, 1, Lanolin, 1, null, null, Wind Crystal, 1, null, null),
(89, 44, 43, null, ../../assets/recipe-icons/cobalt-halberd.png, Cobalt Halberd, 1, Cobalt Ingot, 1, Silver Ingot, 1, Oak Lumber, 1, Boar Leather, 1, null, null, null, null, Wind Shard, 5, Ice Shard, 5),
(90, 44, 45, null, ../../assets/recipe-icons/jade-crook.png, Jade Crook, 1, Mahogany Lumber, 1, Jadeite, 1, Spoken Blood, 1, Horn Glue, 1, null, null, null, null, Wind Shard, 5, Ice Shard, 5),
(91, 45, null, null, ../../assets/recipe-icons/rosewood-lumber.png, Rosewood Lumber, 1, Rosewood Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 6, null, null),
(92, 45, 43, null, ../../assets/recipe-icons/cobalt-cavalry-bow.png, Cobalt Cavalry Bow, 1, Mythril Cavalry Bow, 1, Raptor Sinew, 1, Cobalt Ingot, 1, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(93, 45, 45, null, ../../assets/recipe-icons/rosewood-spinning-wheel.png, Rosewood Spinning Wheel, 1, Rosewood Lumber, 2, Cobalt Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(94, 45, 43, null, ../../assets/recipe-icons/rosewood-fishing-rod.png, Rosewood Fishing Rod, 1, Rosewood Lumber, 1, Rosewood Branch, 1, Mythril Ingot, 1, Crab Oil, 1, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(95, 45, 45, null, ../../assets/recipe-icons/eagle-crested-round-shield.png, Eagle-crested Round Shield, 1, Cobalt Ingot, 1, Mahogany Lumber, 1, Cobalt Rivets, 1, Boar Leather, 1, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(96, 45, 50, null, ../../assets/recipe-icons/vintage-guisarme.png, Vintage Guisarme, 1, Crooked Guisarme, 1, Elm Lumber, 1, Siltstone Whetstone, 1, Horn Glue, 1, null, null, null, null, Ice Crystal, 1, null, null),
(97, 46, 46, null, ../../assets/recipe-icons/yew-longbow.png, Yew Longbow, 1, Rosewood Lumber, 1, Yew Branch, 2, Raptor Sinew, 1, Clove Oil, 1, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(98, 47, 46, null, ../../assets/recipe-icons/cobalt-trident.png, Cobalt Trident, 1, Cobalt Ingot, 3, Mahogany Lumber, 1, Shark Oil, 1, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(99, 47, 47, null, ../../assets/recipe-icons/basilisk-grinding-wheel.png, Basilisk Grinding Wheel, 1, Rosewood Lumber, 1, Cobalt Ingot, 1, Basilisk Egg, 1, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(100, 47, 50, null, ../../assets/recipe-icons/vintage-bow.png, Vintage Bow, 1, Warped Bow, 1, Rosewood Lumber, 1, null, null, null, null, null, null, null, null, Wind Crystal, 1, null, null),
(101, 48, 49, null, ../../assets/recipe-icons/pastoral-mahogany-cane.png, Pastoral Mahogany Cane, 1, Mahogany Lumber, 1, Growth Formula Gamma, 1, Mythril Ingot, 1, Spoken Blood, 1, Dew Thread, 1, null, null, Wind Shard, 6, Ice Shard, 6),
(102, 48, 48, null, ../../assets/recipe-icons/gilded-rosewood-fishing-rod.png, Gilded Rosewood Fishing Rod, 1, Rosewood Fishing Rod, 1, Mythril Ingot, 1, Shark Oil, 1, Electrum Ingot, 1, null, null, null, null, Wind Shard, 6, Ice Shard, 6),
(103, 48, 48, null, ../../assets/recipe-icons/mahogany-pattens.png, Mahogany Pattens, 1, Mahogany Lumber, 1, Undyed Felt, 1, Boar Leather, 1, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 6),
(104, 49, 49, null, ../../assets/recipe-icons/hart-guisarme.png, Hart Guisarme, 1, Cobalt Ingot, 2, Rosewood Lumber, 1, Horn Glue, 1, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 6),
(105, 49, 49, null, ../../assets/recipe-icons/crab-bow.png, Crab Bow, 1, Oak Composite Bow, 1, Aldgoat Horn, 1, Green Megalocrab Shell, 1, Red Coral, 1, null, null, null, null, Wind Shard, 6, Ice Shard, 6),
(106, 50 , null, null, ../../assets/recipe-icons/spruce-lumber.png, Spruce Lumber, 1, Spruce Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Crystal, 3, null, null),
(107, 50 , 55, null, ../../assets/recipe-icons/champion's-lance.png, Champion's Lance, 1, Bloody Lance Head, 1, Spruce Lumber, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(108, 50 , 55, null, ../../assets/recipe-icons/longarm's-composite-bow.png, Longarm's Composite Bow, 1, Bloody Bow Rim, 1, Spruce Lumber, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(109, 50 , 55, null, ../../assets/recipe-icons/militia-grinding-wheel.png, Militia Grinding Wheel, 1, Darksteel Nugget, 1, Astral Rock, 1, Spruce Lumber, 1, null, null, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(110, 50 , 55, null, ../../assets/recipe-icons/militia-spinning-wheel.png, Militia Spinning Wheel, 1, Spruce Lumber, 2, Cobalt Rivets, 2, null, null, null, null, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(111, 50 , null, null, ../../assets/recipe-icons/treated-spruce-lumber.png, Treated Spruce Lumber, 1, Spruce Lumber, 2, Hardened Sap, 9, null, null, null, null, null, null, null, null, Wind Cluster, 1, null, null),
(112, 50 , null, null, ../../assets/recipe-icons/sarnga-limb.png, Sarnga Limb, 1, Treated Spruce Lumber, 1, Darksteel Nugget, 2, null, null, null, null, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(113, 50 , 70, null, ../../assets/recipe-icons/sarnga.png, Sarnga, 1, Sarnga Limb, 1, Darksteel Nugget, 1, Spruce Lumber, 3, null, null, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(114, 50 , 70, null, ../../assets/recipe-icons/spruce-round-shield.png, Spruce Round Shield, 1, Treated Spruce Lumber, 1, Darksteel Rivets, 2, Darksteel Nugget, 1, null, null, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(115, 50 , 70, null, ../../assets/recipe-icons/spruce-pattens.png, Spruce Pattens, 1, Garlean Rubber, 1, Treated Spruce Lumber, 1, Undyed Felt, 1, Raptor Leather, 1, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(116, 50 , null, null, ../../assets/recipe-icons/magicked-stable-broom.png, Magicked Stable Broom, 30, Broombush, 1, Bamboo Stick, 5, null, null, null, null, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(117, 50 , null, null, ../../assets/recipe-icons/blank-grade-2-orchestrion-roll.png, Blank Grade 2 Orchestrion Roll, 1, Spruce Log, 1, Cypress Log, 1, Potash, 1, null, null, null, null, null, null, Wind Crystal, 7, null, null),
(118, 50 , null, null, ../../assets/recipe-icons/magic-broom.png, Magic Broom, 1, Glazenut, 1, Broombush, 1, Rosewood Branch, 1, Ancient Lumber, 1, null, null, null, null, Wind Shard, 99, null, null),
(119, 51, null, null, ../../assets/recipe-icons/cedar-lumber.png, Cedar Lumber, 1, Cedar Log, 5, null, null, null, null, null, null, null, null, null, null, Wind Crystal, 3, null, null),
(120, 51, 115, null, ../../assets/recipe-icons/mythrite-trident.png, Mythrite Trident, 1, Cedar Lumber, 1, Mythrite Nugget, 2, Archaeornis Leather, 1, Void Glue, 1, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(121, 51, 115, null, ../../assets/recipe-icons/cedar-longbow.png, Cedar Longbow, 1, Cedar Branch, 2, Cedar Lumber, 1, Mythrite Nugget, 1, Rainbow Thread, 1, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
