(1, 1, null, null, ../../assets/recipe-icons/copper-ingot.png, Copper Ingot, 1, Copper Ore, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(54, 21, 20, null, ../../assets/recipe-icons/brass-ear-cuffs.png, Brass Ear Cuffs, 1, Brass Ingot, 2, Ragstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(55, 21, 19, null, ../../assets/recipe-icons/brass-choker.png, Brass Choker, 1, Brass Ingot, 2, Hard Leather, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(56, 21, 19, null, ../../assets/recipe-icons/coral-ring.png, Coral Ring, 1, White Coral, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(57, 22, null, null, ../../assets/recipe-icons/eye-of-ice.png, Eye of Ice, 1, Ice Rock, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(58, 22, null, null, ../../assets/recipe-icons/eye-of-water.png, Eye of Water, 1, Water Rock, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(59, 22, null, null, ../../assets/recipe-icons/eye-of-lightning.png, Eye of Lightning, 1, Lightning Rock, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(60, 22, 20, null, ../../assets/recipe-icons/brass-needle.png, Brass Needle, 1, Brass Ingot, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(61, 22, 22, null, ../../assets/recipe-icons/floating-minnow.png, Floating Minnow, 3, Brass Ingot, 1, Ash Lumber, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(62, 23, null, null, ../../assets/recipe-icons/eye-of-earth.png, Eye of Earth, 1, Earth Rock, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(63, 23, null, null, ../../assets/recipe-icons/eye-of-wind.png, Eye of Wind, 1, Wind Rock, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(64, 23, null, null, ../../assets/recipe-icons/eye-of-fire.png, Eye of Fire, 1, Fire Rock, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(65, 23, null, null, ../../assets/recipe-icons/silver-ingot.png, Silver Ingot, 1, Silver Ore, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(66, 23, 21, null, ../../assets/recipe-icons/wind-brand.png, Wind Brand, 1, Eye of Wind, 1, Aldgoat Leather, 1, Antelope Horn, 1, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(67, 23, 23, null, ../../assets/recipe-icons/sanguine-horn-staff.png, Sanguine Horn Staff, 1, Eye of Fire, 1, Antelope Horn, 1, Beastkin Blood, 1, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(68, 23, 1, null, ../../assets/recipe-icons/oval-spectacles.png, Oval Spectacles, 1, Clear Glass Lens, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(69, 23, 1, null, ../../assets/recipe-icons/contemporary-pince-nez.png, Contemporary Pince-nez, 1, Clear Glass Lens, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(70, 23, 23, null, ../../assets/recipe-icons/brass-spoon-lure.png, Brass Spoon Lure, 3, Brass Ingot, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 1),
(71, 24, null, null, ../../assets/recipe-icons/silver-rings.png, Silver Rings, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 2, null, null),
(72, 24, 24, null, ../../assets/recipe-icons/initiate's-needle.png, Initiate's Needle, 1, Iron Ingot, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(73, 24, 25, null, ../../assets/recipe-icons/silver-spectacles.png, Silver Spectacles, 1, Silver Ingot, 1, Clear Glass Lens, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(74, 24, 25, null, ../../assets/recipe-icons/horn-earrings.png, Horn Earrings, 1, Silver Ingot, 1, Antelope Horn, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(75, 25, 26, null, ../../assets/recipe-icons/ice-brand.png, Ice Brand, 1, Eye of Ice, 1, Antelope Horn, 1, Brass Ingot, 1, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(76, 25, 26, null, ../../assets/recipe-icons/toothed-staghorn-staff.png, Toothed Staghorn Staff, 1, Staghorn Staff, 1, Antelope Horn, 2, Scalekin Blood, 1, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(77, 25, 25, null, ../../assets/recipe-icons/silver-magnifiers.png, Silver Magnifiers, 1, Silver Spectacles, 1, Silver Ingot, 1, Clear Glass Lens, 1, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(78, 25, 26, null, ../../assets/recipe-icons/silver-gorget.png, Silver Gorget, 1, Silver Ingot, 2, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(79, 25, 26, null, ../../assets/recipe-icons/silver-wristlets.png, Silver Wristlets, 1, Silver Ingot, 1, Silver Rings, 2, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(80, 25, 26, null, ../../assets/recipe-icons/silver-wristlets-of-crafting.png, Silver Wristlets of Crafting, 1, Silver Ingot, 1, Silver Rings, 2, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(81, 25, null, null, ../../assets/recipe-icons/flawless-band.png, Flawless Band, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, null, null, Water Cluster, 1, null, null),
(82, 26, 28, null, ../../assets/recipe-icons/silver-scepter.png, Silver Scepter, 1, Marbled Eye, 1, Silver Ingot, 1, Brimstone, 1, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(83, 26, 28, null, ../../assets/recipe-icons/silver-needle.png, Silver Needle, 1, Silver Ingot, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(84, 26, 27, null, ../../assets/recipe-icons/silver-earrings.png, Silver Earrings, 1, Silver Ingot, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(85, 26, 27, null, ../../assets/recipe-icons/horn-necklace.png, Horn Necklace, 1, Antelope Horn, 2, Dew Thread, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(86, 26, 27, null, ../../assets/recipe-icons/silver-ring.png, Silver Ring, 1, Silver Ingot, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(87, 26, 27, null, ../../assets/recipe-icons/silver-ring-of-crafting.png, Silver Ring of Crafting, 1, Silver Ingot, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 2, Fire Shard, 2),
(88, 27, 29, null, ../../assets/recipe-icons/sunstone-earrings.png, Sunstone Earrings, 1, Sunstone, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(89, 27, 29, null, ../../assets/recipe-icons/danburite-earrings.png, Danburite Earrings, 1, Danburite, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(90, 27, 28, null, ../../assets/recipe-icons/sunstone-choker.png, Sunstone Choker, 1, Sunstone, 1, Silver Ingot, 2, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(91, 27, 28, null, ../../assets/recipe-icons/danburite-choker.png, Danburite Choker, 1, Danburite, 1, Silver Ingot, 2, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(92, 27, 28, null, ../../assets/recipe-icons/sunstone-bracelet.png, Sunstone Bracelet, 1, Sunstone, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(93, 27, 28, null, ../../assets/recipe-icons/danburite-bracelet.png, Danburite Bracelet, 1, Danburite, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(94, 27, 29, null, ../../assets/recipe-icons/sunstone-ring.png, Sunstone Ring, 1, Sunstone, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(95, 27, 29, null, ../../assets/recipe-icons/danburite-ring.png, Danburite Ring, 1, Danburite, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(96, 27, 27, null, ../../assets/recipe-icons/chocobo-fly.png, Chocobo Fly, 3, Silver Ingot, 1, Chocobo Feather, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(97, 28, 29, null, ../../assets/recipe-icons/fluorite-earrings.png, Fluorite Earrings, 1, Fluorite, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(98, 28, 29, null, ../../assets/recipe-icons/lapis-lazuli-earrings.png, Lapis Lazuli Earrings, 1, Lapis Lazuli, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(99, 28, 28, null, ../../assets/recipe-icons/fluorite-choker.png, Fluorite Choker, 1, Fluorite, 1, Silver Ingot, 2, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(100, 28, 28, null, ../../assets/recipe-icons/lapis-lazuli-choker.png, Lapis Lazuli Choker, 1, Lapis Lazuli, 1, Silver Ingot, 2, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(101, 28, 28, null, ../../assets/recipe-icons/fluorite-bracelet.png, Fluorite Bracelet, 1, Fluorite, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(102, 28, 28, null, ../../assets/recipe-icons/lapis-lazuli-bracelet.png, Lapis Lazuli Bracelet, 1, Lapis Lazuli, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(103, 28, 29, null, ../../assets/recipe-icons/fluorite-ring.png, Fluorite Ring, 1, Fluorite, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(104, 28, 29, null, ../../assets/recipe-icons/lapis-lazuli-ring.png, Lapis Lazuli Ring, 1, Lapis Lazuli, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(105, 29, 29, null, ../../assets/recipe-icons/sphene-earrings.png, Sphene Earrings, 1, Sphene, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(106, 29, 28, null, ../../assets/recipe-icons/sphene-choker.png, Sphene Choker, 1, Sphene, 1, Silver Ingot, 2, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(107, 29, 28, null, ../../assets/recipe-icons/sphene-bracelet.png, Sphene Bracelet, 1, Sphene, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(108, 29, 29, null, ../../assets/recipe-icons/sphene-ring.png, Sphene Ring, 1, Sphene, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 2),
(109, 30, null, null, ../../assets/recipe-icons/cut-stone.png, Cut Stone, 1, Granite, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(110, 30, null, null, ../../assets/recipe-icons/siltstone-whetstone.png, Siltstone Whetstone, 1, Siltstone, 2, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(111, 30, 29, null, ../../assets/recipe-icons/malachite-earrings.png, Malachite Earrings, 1, Malachite, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(112, 30, 28, null, ../../assets/recipe-icons/malachite-choker.png, Malachite Choker, 1, Malachite, 1, Silver Ingot, 2, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(113, 30, 28, null, ../../assets/recipe-icons/malachite-bracelet.png, Malachite Bracelet, 1, Malachite, 2, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(114, 30, 29, null, ../../assets/recipe-icons/malachite-ring.png, Malachite Ring, 1, Malachite, 1, Silver Ingot, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(115, 31, 31, null, ../../assets/recipe-icons/goathorn-staff.png, Goathorn Staff, 1, Marbled Eye, 1, Aldgoat Horn, 2, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(116, 31, 30, null, ../../assets/recipe-icons/silver-ear-cuffs.png, Silver Ear Cuffs, 1, Silver Ingot, 2, Siltstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(117, 31, 29, null, ../../assets/recipe-icons/silver-choker.png, Silver Choker, 1, Silver Ingot, 2, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(118, 31, 29, null, ../../assets/recipe-icons/horn-armillae.png, Horn Armillae, 1, Aldgoat Horn, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(119, 31, 29, null, ../../assets/recipe-icons/horn-ring.png, Horn Ring, 1, Aldgoat Horn, 1, Siltstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(120, 32, null, null, ../../assets/recipe-icons/aquamarine.png, Aquamarine, 1, Raw Aquamarine, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(121, 32, null, null, ../../assets/recipe-icons/amethyst.png, Amethyst, 1, Raw Amethyst, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(122, 32, null, null, ../../assets/recipe-icons/garnet.png, Garnet, 1, Raw Garnet, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(123, 32, null, null, ../../assets/recipe-icons/goshenite.png, Goshenite, 1, Raw Goshenite, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(124, 32, null, null, ../../assets/recipe-icons/heliodor.png, Heliodor, 1, Raw Heliodor, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(125, 32, null, null, ../../assets/recipe-icons/peridot.png, Peridot, 1, Raw Peridot, 1, null, null, null, null, null, null, null, null, null, null, Wind Shard, 3, null, null),
(126, 32, 32, null, ../../assets/recipe-icons/worm-fang-needle.png, Worm Fang Needle, 1, Sandworm Fang, 1, Siltstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(127, 32, 32, null, ../../assets/recipe-icons/silver-monocle.png, Silver Monocle, 1, Silver Ingot, 1, Clear Glass Lens, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(128, 32, 32, null, ../../assets/recipe-icons/silver-spoon-lure.png, Silver Spoon Lure, 3, Silver Ingot, 2, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(129, 32, 32, null, ../../assets/recipe-icons/steel-jig.png, Steel Jig, 3, Steel Ingot, 2, Siltstone Whetstone, 1, null, null, null, null, null, null, null, null, Wind Shard, 3, Fire Shard, 3),
(130, 33, 28, null, ../../assets/recipe-icons/silver-circlet-(aquamarine).png, Silver Circlet (Aquamarine), 1, Aquamarine, 1, Silver Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 4, Fire Shard, 3),
(131, 33, 28, null, ../../assets/recipe-icons/silver-circlet-(amethyst).png, Silver Circlet (Amethyst), 1, Amethyst, 1, Silver Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 4, Fire Shard, 3),
(132, 33, 28, null, ../../assets/recipe-icons/silver-circlet-(garnet).png, Silver Circlet (Garnet), 1, Garnet, 1, Silver Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 4, Fire Shard, 3),
(133, 33, 28, null, ../../assets/recipe-icons/silver-circlet-(goshenite).png, Silver Circlet (Goshenite), 1, Goshenite, 1, Silver Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 4, Fire Shard, 3),
(134, 33, 28, null, ../../assets/recipe-icons/silver-circlet-(heliodor).png, Silver Circlet (Heliodor), 1, Heliodor, 1, Silver Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 4, Fire Shard, 3),
(135, 33, 28, null, ../../assets/recipe-icons/silver-circlet-(peridot).png, Silver Circlet (Peridot), 1, Peridot, 1, Silver Ingot, 3, null, null, null, null, null, null, null, null, Wind Shard, 4, Fire Shard, 3),
