(1, 1, null, null, ../../assets/recipe-icons/blacksmith/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(15, 6, 5, null, ../../assets/recipe-icons/blacksmith/amateur's-culinary-knife.png, Amateur's Culinary Knife, 1, Bronze Ingot, 1, Maple Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(16, 7, 7, null, ../../assets/recipe-icons/blacksmith/viking-sword.png, Viking Sword, 1, Bronze Ingot, 1, Leather, 1, Bone Chip, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(17, 7, 8, null, ../../assets/recipe-icons/blacksmith/bronze-labrys.png, Bronze Labrys, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(18, 7, 8, null, ../../assets/recipe-icons/blacksmith/bronze-chaser-hammer.png, Bronze Chaser Hammer, 1, Bronze Ingot, 1, Bronze Rivets, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(19, 8, 8, null, ../../assets/recipe-icons/blacksmith/bronze-knives.png, Bronze Knives, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(20, 8, 8, null, ../../assets/recipe-icons/blacksmith/bronze-head-knife.png, Bronze Head Knife, 1, Bronze Ingot, 1, Maple Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(21, 8, 8, null, ../../assets/recipe-icons/blacksmith/bronze-pickaxe.png, Bronze Pickaxe, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(22, 9, 10, null, ../../assets/recipe-icons/blacksmith/cloud-axe.png, Cloud Axe, 1, Bronze War Axe, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(23, 9, 11, null, ../../assets/recipe-icons/blacksmith/bronze-claw-hammer.png, Bronze Claw Hammer, 1, Bronze Ingot, 1, Maple Lumber, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(24, 10, 10, null, ../../assets/recipe-icons/blacksmith/bronze-baselards.png, Bronze Baselards, 1, Bronze Ingot, 2, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(25, 10, 11, null, ../../assets/recipe-icons/blacksmith/amateur's-cross-pein-hammer.png, Amateur's Cross-pein Hammer, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(26, 10, 11, null, ../../assets/recipe-icons/blacksmith/bronze-file.png, Bronze File, 1, Bronze Ingot, 2, Hard Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(27, 10, 11, null, ../../assets/recipe-icons/blacksmith/bronze-pliers.png, Bronze Pliers, 1, Bronze Ingot, 1, Bronze Rivets, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(28, 10, 11, null, ../../assets/recipe-icons/blacksmith/amateur's-chaser-hammer.png, Amateur's Chaser Hammer, 1, Bronze Ingot, 1, Bronze Rivets, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(29, 10, 11, null, ../../assets/recipe-icons/blacksmith/bronze-mortar.png, Bronze Mortar, 1, Bronze Ingot, 2, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(30, 11, 11, null, ../../assets/recipe-icons/blacksmith/amateur's-doming-hammer.png, Amateur's Doming Hammer, 1, Bronze Ingot, 1, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(31, 11, 11, null, ../../assets/recipe-icons/blacksmith/amateur's-head-knife.png, Amateur's Head Knife, 1, Bronze Ingot, 1, Ash Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(32, 11, 11, null, ../../assets/recipe-icons/blacksmith/bronze-awl.png, Bronze Awl, 1, Bronze Ingot, 1, Ash Lumber, 1, Jellyfish Humours, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(33, 11, 11, null, ../../assets/recipe-icons/blacksmith/amateur's-pickaxe.png, Amateur's Pickaxe, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(34, 11, 11, null, ../../assets/recipe-icons/blacksmith/bronze-scythe.png, Bronze Scythe, 1, Bronze Ingot, 1, Ash Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(35, 12, 12, null, ../../assets/recipe-icons/blacksmith/amateur's-saw.png, Amateur's Saw, 1, Bronze Ingot, 1, Bronze Rivets, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(36, 12, 14, null, ../../assets/recipe-icons/blacksmith/bronze-ornamental-hammer.png, Bronze Ornamental Hammer, 1, Amateur's Chaser Hammer, 1, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(37, 12, 11, null, ../../assets/recipe-icons/blacksmith/bronze-culinary-knife.png, Bronze Culinary Knife, 1, Bronze Ingot, 1, Ash Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(38, 12, 11, null, ../../assets/recipe-icons/blacksmith/bronze-sledgehammer.png, Bronze Sledgehammer, 1, Bronze Ingot, 1, Ash Lumber, 1, Animal Glue, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(39, 12, 12, null, ../../assets/recipe-icons/blacksmith/amateur's-hatchet.png, Amateur's Hatchet, 1, Bronze Ingot, 1, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(40, 13, 13, null, ../../assets/recipe-icons/blacksmith/bronze-spatha.png, Bronze Spatha, 1, Bronze Ingot, 1, Hard Leather, 1, Ram Horn, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(41, 13, 12, null, ../../assets/recipe-icons/blacksmith/bronze-knuckles.png, Bronze Knuckles, 1, Bronze Ingot, 2, Hard Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(42, 14, 13, null, ../../assets/recipe-icons/blacksmith/spiked-bronze-labrys.png, Spiked Bronze Labrys, 1, Bronze Ingot, 3, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(43, 14, 13, null, ../../assets/recipe-icons/blacksmith/brass-daggers.png, Brass Daggers, 1, Brass Ingot, 1, Bronze Ingot, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(44, 14, 14, null, ../../assets/recipe-icons/blacksmith/brass-head-knife.png, Brass Head Knife, 1, Bronze Head Knife, 1, Ragstone Whetstone, 1, Brass Ingot, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(45, 15, null, null, ../../assets/recipe-icons/blacksmith/iron-clapper.png, Iron Clapper, 1, Iron Ingot, 1, Undyed Cotton Cloth, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(46, 15, 14, null, ../../assets/recipe-icons/blacksmith/birdsbeak-hammer.png, Birdsbeak Hammer, 1, Bronze Ingot, 1, Undyed Cotton Cloth, 1, Ash Lumber, 1, Jellyfish Humours, 1, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(47, 15, 14, null, ../../assets/recipe-icons/blacksmith/bronze-raising-hammer.png, Bronze Raising Hammer, 1, Bronze Ingot, 1, Bronze Plate, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(48, 16, null, null, ../../assets/recipe-icons/blacksmith/iron-ingot.png, Iron Ingot, 1, Iron Ore, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(49, 16, null, null, ../../assets/recipe-icons/blacksmith/iron-nails.png, Iron Nails, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(50, 16, 15, null, ../../assets/recipe-icons/blacksmith/brass-bastard-sword.png, Brass Bastard Sword, 1, Bronze Bastard Sword, 1, Brass Ingot, 2, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(51, 16, 16, null, ../../assets/recipe-icons/blacksmith/brass-knuckles.png, Brass Knuckles, 1, Bronze Knuckles, 1, Brass Ingot, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(52, 16, 15, null, ../../assets/recipe-icons/blacksmith/brass-knives.png, Brass Knives, 1, Brass Ingot, 1, Bronze Ingot, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(53, 16, 16, null, ../../assets/recipe-icons/blacksmith/chocobotail-saw.png, Chocobotail Saw, 1, Amateur's Saw, 1, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(54, 16, 14, null, ../../assets/recipe-icons/blacksmith/plumed-bronze-pickaxe.png, Plumed Bronze Pickaxe, 1, Bronze Pickaxe, 1, Hard Leather, 1, Crow Feather, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(55, 17, 15, null, ../../assets/recipe-icons/blacksmith/iron-war-axe.png, Iron War Axe, 1, Iron Ingot, 2, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(56, 17, 18, null, ../../assets/recipe-icons/blacksmith/iron-labrys.png, Iron Labrys, 1, Iron Ingot, 2, Elm Lumber, 1, Hard Leather, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(57, 17, 15, null, ../../assets/recipe-icons/blacksmith/iron-hatchet.png, Iron Hatchet, 1, Iron Ingot, 1, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(58, 18, null, null, ../../assets/recipe-icons/blacksmith/iron-rivets.png, Iron Rivets, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(59, 18, 18, null, ../../assets/recipe-icons/blacksmith/iron-cross-pein-hammer.png, Iron Cross-pein Hammer, 1, Iron Ingot, 1, Undyed Cotton Cloth, 1, Elm Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(60, 18, 18, null, ../../assets/recipe-icons/blacksmith/iron-doming-hammer.png, Iron Doming Hammer, 1, Iron Ingot, 1, Elm Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(61, 18, 18, null, ../../assets/recipe-icons/blacksmith/iron-chaser-hammer.png, Iron Chaser Hammer, 1, Iron Ingot, 1, Iron Rivets, 1, Elm Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(62, 19, 19, null, ../../assets/recipe-icons/blacksmith/initiate's-head-knife.png, Initiate's Head Knife, 1, Iron Ingot, 1, Ash Lumber, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(63, 19, 19, null, ../../assets/recipe-icons/blacksmith/iron-awl.png, Iron Awl, 1, Iron Ingot, 1, Elm Lumber, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(64, 19, 19, null, ../../assets/recipe-icons/blacksmith/initiate's-sledgehammer.png, Initiate's Sledgehammer, 1, Iron Ingot, 1, Elm Lumber, 1, Fish Glue, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(65, 19, 19, null, ../../assets/recipe-icons/blacksmith/initiate's-hatchet.png, Initiate's Hatchet, 1, Iron Ingot, 1, Elm Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(66, 20, 18, null, ../../assets/recipe-icons/blacksmith/brass-viking-sword.png, Brass Viking Sword, 1, Viking Sword, 1, Brass Ingot, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(67, 20, 20, null, ../../assets/recipe-icons/blacksmith/carnage-sword.png, Carnage Sword, 1, Brass Bastard Sword, 1, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(68, 20, 20, null, ../../assets/recipe-icons/blacksmith/iron-daggers.png, Iron Daggers, 1, Iron Ingot, 2, Elm Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(69, 20, 19, null, ../../assets/recipe-icons/blacksmith/initiate's-saw.png, Initiate's Saw, 1, Iron Ingot, 1, Iron Rivets, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(70, 20, 20, null, ../../assets/recipe-icons/blacksmith/iron-claw-hammer.png, Iron Claw Hammer, 1, Iron Ingot, 1, Elm Lumber, 1, Jellyfish Humours, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(71, 20, 19, null, ../../assets/recipe-icons/blacksmith/iron-pickaxe.png, Iron Pickaxe, 1, Iron Ingot, 1, Undyed Cotton Cloth, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(72, 21, 20, null, ../../assets/recipe-icons/blacksmith/inferno-axe.png, Inferno Axe, 1, Iron War Axe, 1, Iron Ingot, 1, Brass Ingot, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(73, 21, 21, null, ../../assets/recipe-icons/blacksmith/initiate's-cross-pein-hammer.png, Initiate's Cross-pein Hammer, 1, Iron Ingot, 1, Undyed Cotton Cloth, 1, Yew Lumber, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(74, 21, 21, null, ../../assets/recipe-icons/blacksmith/initiate's-doming-hammer.png, Initiate's Doming Hammer, 1, Iron Ingot, 1, Yew Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(75, 21, 21, null, ../../assets/recipe-icons/blacksmith/initiate's-chaser-hammer.png, Initiate's Chaser Hammer, 1, Iron Ingot, 1, Iron Rivets, 1, Yew Lumber, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(76, 21, 20, null, ../../assets/recipe-icons/blacksmith/iron-mortar.png, Iron Mortar, 1, Iron Ingot, 2, Elm Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(77, 21, 20, null, ../../assets/recipe-icons/blacksmith/iron-culinary-knife.png, Iron Culinary Knife, 1, Iron Ingot, 1, Elm Lumber, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(78, 21, 20, null, ../../assets/recipe-icons/blacksmith/iron-scythe.png, Iron Scythe, 1, Iron Ingot, 1, Elm Lumber, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(79, 22, 22, null, ../../assets/recipe-icons/blacksmith/iron-shortsword.png, Iron Shortsword, 1, Iron Ingot, 2, Elm Lumber, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(80, 22, 22, null, ../../assets/recipe-icons/blacksmith/iron-pugiones.png, Iron Pugiones, 1, Iron Ingot, 2, Hard Leather, 1, Soiled Femur, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(81, 22, 21, null, ../../assets/recipe-icons/blacksmith/iron-file.png, Iron File, 1, Iron Ingot, 2, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(82, 22, 21, null, ../../assets/recipe-icons/blacksmith/iron-pliers.png, Iron Pliers, 1, Iron Ingot, 1, Iron Rivets, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(83, 22, 22, null, ../../assets/recipe-icons/blacksmith/initiate's-pickaxe.png, Initiate's Pickaxe, 1, Iron Ingot, 1, Undyed Cotton Cloth, 1, Elm Lumber, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(84, 23, 23, null, ../../assets/recipe-icons/blacksmith/spiked-knuckles.png, Spiked Knuckles, 1, Iron Plate, 1, Iron Ingot, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(85, 23, 23, null, ../../assets/recipe-icons/blacksmith/initiate's-awl.png, Initiate's Awl, 1, Iron Ingot, 1, Yew Lumber, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(86, 23, 22, null, ../../assets/recipe-icons/blacksmith/iron-sledgehammer.png, Iron Sledgehammer, 1, Iron Ingot, 1, Elm Lumber, 1, Fish Glue, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 1),
(87, 24, 23, null, ../../assets/recipe-icons/blacksmith/iron-bill.png, Iron Bill, 1, Iron Ingot, 2, Yew Lumber, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(88, 24, 23, null, ../../assets/recipe-icons/blacksmith/bas-relief-iron-saw.png, Bas-relief Iron Saw, 1, Iron Ingot, 1, Iron Rivets, 1, Elm Lumber, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(89, 24, 24, null, ../../assets/recipe-icons/blacksmith/initiate's-claw-hammer.png, Initiate's Claw Hammer, 1, Iron Ingot, 1, Yew Lumber, 1, Crab Oil, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(90, 24, 24, null, ../../assets/recipe-icons/blacksmith/initiate's-mortar.png, Initiate's Mortar, 1, Iron Ingot, 2, Yew Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(91, 24, 23, null, ../../assets/recipe-icons/blacksmith/brass-hatchet.png, Brass Hatchet, 1, Initiate's Hatchet, 1, Brass Ingot, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(92, 25, 24, null, ../../assets/recipe-icons/blacksmith/iron-spatha.png, Iron Spatha, 1, Iron Ingot, 1, Aldgoat Leather, 1, Antelope Horn, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(93, 25, 23, null, ../../assets/recipe-icons/blacksmith/iron-round-knife.png, Iron Round Knife, 1, Iron Ingot, 1, Yew Lumber, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(94, 25, 24, null, ../../assets/recipe-icons/blacksmith/initiate's-culinary-knife.png, Initiate's Culinary Knife, 1, Iron Ingot, 1, Yew Lumber, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(95, 25, 24, null, ../../assets/recipe-icons/blacksmith/initiate's-scythe.png, Initiate's Scythe, 1, Iron Ingot, 1, Yew Lumber, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(96, 26, null, null, ../../assets/recipe-icons/blacksmith/steel-ingot.png, Steel Ingot, 1, Bomb Ash, 1, Iron Ore, 2, null, null, null, null, null, null, null, null, Fire Shard, 2, null, null),
(97, 26, 25, null, ../../assets/recipe-icons/blacksmith/thunderstorm-axe.png, Thunderstorm Axe, 1, Inferno Axe, 1, Iron Ingot, 1, Silver Ingot, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(98, 26, 26, null, ../../assets/recipe-icons/blacksmith/steel-daggers.png, Steel Daggers, 1, Steel Ingot, 2, Yew Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(99, 26, 24, null, ../../assets/recipe-icons/blacksmith/crowsbeak-hammer.png, Crowsbeak Hammer, 1, Iron Ingot, 1, Undyed Cotton Cloth, 1, Walnut Lumber, 1, Clove Oil, 1, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(100, 26, 24, null, ../../assets/recipe-icons/blacksmith/iron-raising-hammer.png, Iron Raising Hammer, 1, Iron Ingot, 1, Iron Plate, 1, Walnut Lumber, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(101, 26, 24, null, ../../assets/recipe-icons/blacksmith/iron-ornamental-hammer.png, Iron Ornamental Hammer, 1, Initiate's Chaser Hammer, 1, Iron Rivets, 1, Brass Ingot, 1, null, null, null, null, null, null, Fire Shard, 2, Earth Shard, 2),
(102, 27, null, null, ../../assets/recipe-icons/blacksmith/steel-nails.png, Steel Nails, 1, Steel Ingot, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 3, null, null),
(103, 27, 25, null, ../../assets/recipe-icons/blacksmith/initiate's-file.png, Initiate's File, 1, Iron Ingot, 2, Toad Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(104, 27, 25, null, ../../assets/recipe-icons/blacksmith/initiate's-pliers.png, Initiate's Pliers, 1, Iron Ingot, 1, Iron Rivets, 1, Crab Oil, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(105, 27, 25, null, ../../assets/recipe-icons/blacksmith/iron-dolabra.png, Iron Dolabra, 1, Iron Ingot, 1, Iron Plate, 1, Walnut Lumber, 1, Aldgoat Leather, 1, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(106, 28, 26, null, ../../assets/recipe-icons/blacksmith/steel-broadsword.png, Steel Broadsword, 1, Steel Ingot, 1, Walnut Lumber, 1, Wolf Fang, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(107, 28, 28, null, ../../assets/recipe-icons/blacksmith/spiked-steel-labrys.png, Spiked Steel Labrys, 1, Steel Ingot, 3, Walnut Lumber, 1, Toad Leather, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(108, 28, 28, null, ../../assets/recipe-icons/blacksmith/iron-chocobotail-saw.png, Iron Chocobotail Saw, 1, Iron Ingot, 1, Iron Rivets, 1, Walnut Lumber, 1, Brass Ingot, 1, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(109, 29, null, null, ../../assets/recipe-icons/blacksmith/steel-rivets.png, Steel Rivets, 1, Steel Ingot, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 3, null, null),
(110, 29, 29, null, ../../assets/recipe-icons/blacksmith/steel-claws.png, Steel Claws, 1, Steel Plate, 1, Steel Ingot, 1, Walnut Lumber, 1, Fish Glue, 1, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(111, 29, 29, null, ../../assets/recipe-icons/blacksmith/heavy-crowsbeak-hammer.png, Heavy Crowsbeak Hammer, 1, Crowsbeak Hammer, 1, Iron Ingot, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(112, 29, 29, null, ../../assets/recipe-icons/blacksmith/wrapped-iron-raising-hammer.png, Wrapped Iron Raising Hammer, 1, Iron Raising Hammer, 1, Walnut Lumber, 1, Toad Leather, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(113, 29, 28, null, ../../assets/recipe-icons/blacksmith/iron-head-knife.png, Iron Head Knife, 1, Iron Ingot, 1, Walnut Lumber, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(114, 29, 28, null, ../../assets/recipe-icons/blacksmith/plumed-iron-hatchet.png, Plumed Iron Hatchet, 1, Iron Ingot, 1, Walnut Lumber, 1, Chocobo Feather, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 2),
(115, 30, 30, null, ../../assets/recipe-icons/blacksmith/steel-knives.png, Steel Knives, 1, Steel Ingot, 2, Walnut Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 3),
(116, 30, 31, null, ../../assets/recipe-icons/blacksmith/bas-relief-steel-saw.png, Bas-relief Steel Saw, 1, Steel Ingot, 1, Steel Rivets, 1, Walnut Lumber, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 3),
