(1, 1, null, null, ../../assets/recipe-icons/weaver/hempen-yarn.png, Hempen Yarn, 2, Moko Grass, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(23, 6, 5, null, ../../assets/recipe-icons/weaver/hempen-tabard.png, Hempen Tabard, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, Animal Sinew, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(24, 6, 6, null, ../../assets/recipe-icons/weaver/hempen-shepherd's-tunic.png, Hempen Shepherd's Tunic, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Copper Ingot, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(25, 6, 6, null, ../../assets/recipe-icons/weaver/hempen-shortgloves.png, Hempen Shortgloves, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(26, 7, 5, null, ../../assets/recipe-icons/weaver/hempen-halfrobe.png, Hempen Halfrobe, 1, Undyed Hempen Cloth, 3, Hempen Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(27, 7, 6, null, ../../assets/recipe-icons/weaver/hempen-work-gloves.png, Hempen Work Gloves, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Moko Grass, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(28, 7, 8, null, ../../assets/recipe-icons/weaver/hempen-sash.png, Hempen Sash, 1, Undyed Hempen Cloth, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(29, 8, 8, null, ../../assets/recipe-icons/weaver/hempen-acton.png, Hempen Acton, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Moko Grass, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(30, 8, 8, null, ../../assets/recipe-icons/weaver/hempen-kecks.png, Hempen Kecks, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Leather, 1, Copper Ingot, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(31, 8, 8, null, ../../assets/recipe-icons/weaver/hempen-gaskins.png, Hempen Gaskins, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 2, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(32, 9, 9, null, ../../assets/recipe-icons/weaver/amateur's-kurta.png, Amateur's Kurta, 1, Undyed Hempen Cloth, 3, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(33, 9, 9, null, ../../assets/recipe-icons/weaver/amateur's-doublet-vest.png, Amateur's Doublet Vest, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, Copper Ingot, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(34, 9, 10, null, ../../assets/recipe-icons/weaver/hempen-bottoms.png, Hempen Bottoms, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Copper Ingot, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(35, 9, 10, null, ../../assets/recipe-icons/weaver/amateur's-slops.png, Amateur's Slops, 1, Undyed Hempen Cloth, 2, Leather, 1, Animal Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(36, 10, 10, null, ../../assets/recipe-icons/weaver/amateur's-hempen-coif.png, Amateur's Hempen Coif, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Hard Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(37, 10, 10, null, ../../assets/recipe-icons/weaver/amateur's-dalmatica.png, Amateur's Dalmatica, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Cock Feather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(38, 10, 10, null, ../../assets/recipe-icons/weaver/hempen-trousers.png, Hempen Trousers, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, Animal Sinew, 1, Bronze Rivets, 1, null, null, Lightning Shard, 1, Wind Shard, 1),
(39, 10, 10, null, ../../assets/recipe-icons/weaver/amateur's-breeches.png, Amateur's Breeches, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(40, 11, 10, null, ../../assets/recipe-icons/weaver/straw-hat.png, Straw Hat, 1, Straw, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(41, 11, 11, null, ../../assets/recipe-icons/weaver/hempen-bracers.png, Hempen Bracers, 1, Undyed Hempen Cloth, 2, Hard Leather, 1, Bronze Ingot, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(42, 11, 11, null, ../../assets/recipe-icons/weaver/hempen-dress-gloves.png, Hempen Dress Gloves, 1, Undyed Hempen Cloth, 2, Hempen Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(43, 12, null, null, ../../assets/recipe-icons/weaver/cotton-yarn.png, Cotton Yarn, 2, Cotton Boll, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(44, 12, 12, null, ../../assets/recipe-icons/weaver/stablemaid's-hat.png, Stablemaid's Hat, 1, Straw, 3, Carnation, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(45, 12, 12, null, ../../assets/recipe-icons/weaver/hempen-doublet-vest-of-gathering.png, Hempen Doublet Vest of Gathering, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, Copper Ingot, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(46, 12, 12, null, ../../assets/recipe-icons/weaver/hempen-doublet-vest-of-crafting.png, Hempen Doublet Vest of Crafting, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, Leather, 1, Copper Ingot, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(47, 12, 12, null, ../../assets/recipe-icons/weaver/hempen-robe.png, Hempen Robe, 1, Undyed Hempen Cloth, 3, Hempen Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(48, 13, null, null, ../../assets/recipe-icons/weaver/undyed-cotton-cloth.png, Undyed Cotton Cloth, 1, Cotton Yarn, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(49, 13, 12, null, ../../assets/recipe-icons/weaver/cotton-turban.png, Cotton Turban, 1, Undyed Cotton Cloth, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(50, 13, 12, null, ../../assets/recipe-icons/weaver/altered-cotton-bandana.png, Altered Cotton Bandana, 1, Undyed Cotton Cloth, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(51, 13, 13, null, ../../assets/recipe-icons/weaver/stablehand's-hat.png, Stablehand's Hat, 1, Straw, 3, Undyed Cotton Cloth, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(52, 13, 13, null, ../../assets/recipe-icons/weaver/striped-cotton-slops.png, Striped Cotton Slops, 1, Undyed Cotton Cloth, 2, Hard Leather, 1, Animal Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(53, 14, 14, null, ../../assets/recipe-icons/weaver/cotton-shirt.png, Cotton Shirt, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 2, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(54, 14, 15, null, ../../assets/recipe-icons/weaver/cotton-cowl.png, Cotton Cowl, 1, Undyed Cotton Cloth, 2, Undyed Hempen Cloth, 2, Cotton Yarn, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(55, 14, 14, null, ../../assets/recipe-icons/weaver/cotton-longsash.png, Cotton Longsash, 1, Undyed Cotton Cloth, 3, Hempen Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(56, 14, 14, null, ../../assets/recipe-icons/weaver/cotton-sarouel.png, Cotton Sarouel, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, Beast Sinew, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(57, 14, 15, null, ../../assets/recipe-icons/weaver/cotton-chausses.png, Cotton Chausses, 1, Undyed Cotton Cloth, 3, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(58, 14, 15, null, ../../assets/recipe-icons/weaver/cotton-tights.png, Cotton Tights, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(59, 15, 15, null, ../../assets/recipe-icons/weaver/cotton-scarf.png, Cotton Scarf, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(60, 15, 15, null, ../../assets/recipe-icons/weaver/cotton-halfgloves.png, Cotton Halfgloves, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(61, 15, 15, null, ../../assets/recipe-icons/weaver/cotton-shepherd's-slops.png, Cotton Shepherd's Slops, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Undyed Hempen Cloth, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(62, 16, 16, null, ../../assets/recipe-icons/weaver/hunting-hat.png, Hunting Hat, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(63, 16, 16, null, ../../assets/recipe-icons/weaver/cotton-tabard.png, Cotton Tabard, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Hard Leather, 1, Animal Sinew, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(64, 16, 15, null, ../../assets/recipe-icons/weaver/cotton-shepherd's-tunic.png, Cotton Shepherd's Tunic, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Brass Ingot, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(65, 16, 16, null, ../../assets/recipe-icons/weaver/rope-belt.png, Rope Belt, 1, Straw, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(66, 16, 15, null, ../../assets/recipe-icons/weaver/padded-hempen-trousers.png, Padded Hempen Trousers, 1, Undyed Hempen Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, Beast Sinew, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(67, 17, 18, null, ../../assets/recipe-icons/weaver/cotton-dalmatica.png, Cotton Dalmatica, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Beast Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(68, 17, 18, null, ../../assets/recipe-icons/weaver/cotton-dalmatica-of-gathering.png, Cotton Dalmatica of Gathering, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Beast Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(69, 17, 18, null, ../../assets/recipe-icons/weaver/altered-cotton-dalmatica.png, Altered Cotton Dalmatica, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Beast Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(70, 17, 17, null, ../../assets/recipe-icons/weaver/cotton-trousers.png, Cotton Trousers, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Leather, 1, Animal Sinew, 1, Bronze Rivets, 1, null, null, Lightning Shard, 1, Wind Shard, 1),
(71, 18, null, null, ../../assets/recipe-icons/weaver/cotton-canvas.png, Cotton Canvas, 1, Cotton Yarn, 2, Hempen Yarn, 1, Beeswax, 1, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(72, 18, 18, null, ../../assets/recipe-icons/weaver/cotton-kurta.png, Cotton Kurta, 1, Undyed Cotton Cloth, 3, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(73, 19, 19, null, ../../assets/recipe-icons/weaver/cotton-coif.png, Cotton Coif, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(74, 19, 19, null, ../../assets/recipe-icons/weaver/cotton-coif-of-gathering.png, Cotton Coif of Gathering, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(75, 19, 18, null, ../../assets/recipe-icons/weaver/cotton-acton.png, Cotton Acton, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Dodo Feather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(76, 19, 19, null, ../../assets/recipe-icons/weaver/cotton-breeches.png, Cotton Breeches, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(77, 19, 19, null, ../../assets/recipe-icons/weaver/cotton-breeches-of-crafting.png, Cotton Breeches of Crafting, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Leather, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(78, 20, 24, null, ../../assets/recipe-icons/weaver/initiate's-doublet-vest.png, Initiate's Doublet Vest, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, Brass Ingot, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(79, 20, 20, null, ../../assets/recipe-icons/weaver/cotton-work-gloves.png, Cotton Work Gloves, 1, Undyed Cotton Cloth, 1, Undyed Hempen Cloth, 1, Cotton Yarn, 1, Cotton Boll, 1, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(80, 20, 20, null, ../../assets/recipe-icons/weaver/padded-cotton-trousers.png, Padded Cotton Trousers, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, Animal Sinew, 1, Iron Rivets, 1, null, null, Lightning Shard, 1, Wind Shard, 1),
(81, 20, 20, null, ../../assets/recipe-icons/weaver/initiate's-slops.png, Initiate's Slops, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Beast Sinew, 1, null, null, null, null, null, null, Lightning Shard, 1, Wind Shard, 1),
(82, 21, 21, null, ../../assets/recipe-icons/weaver/cotton-dress-gloves.png, Cotton Dress Gloves, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(83, 21, 21, null, ../../assets/recipe-icons/weaver/cotton-sash.png, Cotton Sash, 1, Undyed Cotton Cloth, 3, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(84, 22, 21, null, ../../assets/recipe-icons/weaver/cotton-halfrobe.png, Cotton Halfrobe, 1, Undyed Cotton Cloth, 3, Cotton Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(85, 22, 22, null, ../../assets/recipe-icons/weaver/cotton-gaskins.png, Cotton Gaskins, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 2, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(86, 22, 22, null, ../../assets/recipe-icons/weaver/cotton-dress-shoes.png, Cotton Dress Shoes, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Rubber, 1, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(87, 23, null, null, ../../assets/recipe-icons/weaver/dew-thread.png, Dew Thread, 2, Diremite Web, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(88, 23, 22, null, ../../assets/recipe-icons/weaver/cotton-sugarloaf-hat.png, Cotton Sugarloaf Hat, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Iron Ingot, 1, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(89, 23, 23, null, ../../assets/recipe-icons/weaver/cotton-trapper's-tunic.png, Cotton Trapper's Tunic, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Hard Leather, 1, Beast Sinew, 1, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(90, 23, 21, null, ../../assets/recipe-icons/weaver/cotton-doublet-vest-of-gathering.png, Cotton Doublet Vest of Gathering, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, Brass Ingot, 1, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(91, 23, 21, null, ../../assets/recipe-icons/weaver/cotton-doublet-vest-of-crafting.png, Cotton Doublet Vest of Crafting, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Hard Leather, 1, Brass Ingot, 1, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(92, 23, 23, null, ../../assets/recipe-icons/weaver/cotton-bracers.png, Cotton Bracers, 1, Undyed Cotton Cloth, 2, Hard Leather, 1, Iron Ingot, 1, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 1),
(93, 24, null, null, ../../assets/recipe-icons/weaver/undyed-velveteen.png, Undyed Velveteen, 1, Cotton Yarn, 1, Dew Thread, 1, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(94, 24, 24, null, ../../assets/recipe-icons/weaver/initiate's-gown.png, Initiate's Gown, 1, Undyed Velveteen, 2, Dew Thread, 1, Cotton Boll, 1, Iron Ingot, 1, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(95, 24, 24, null, ../../assets/recipe-icons/weaver/cotton-robe.png, Cotton Robe, 1, Undyed Cotton Cloth, 3, Dew Thread, 2, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(96, 24, 24, null, ../../assets/recipe-icons/weaver/velveteen-halfgloves.png, Velveteen Halfgloves, 1, Undyed Velveteen, 1, Dew Thread, 1, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(97, 24, 23, null, ../../assets/recipe-icons/weaver/cotton-kecks.png, Cotton Kecks, 1, Undyed Cotton Cloth, 2, Cotton Yarn, 1, Leather, 1, Iron Ingot, 1, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(98, 24, 24, null, ../../assets/recipe-icons/weaver/velveteen-chausses.png, Velveteen Chausses, 1, Undyed Velveteen, 3, Dew Thread, 1, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(99, 25, 23, null, ../../assets/recipe-icons/weaver/velveteen-bandana.png, Velveteen Bandana, 1, Undyed Velveteen, 3, Sunrise Tellin, 1, Bat Fang, 1, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(100, 25, 25, null, ../../assets/recipe-icons/weaver/velveteen-sarouel.png, Velveteen Sarouel, 1, Undyed Velveteen, 1, Dew Thread, 1, Aldgoat Leather, 1, Beast Sinew, 1, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(101, 25, 25, null, ../../assets/recipe-icons/weaver/velveteen-sarouel-of-gathering.png, Velveteen Sarouel of Gathering, 1, Undyed Velveteen, 1, Dew Thread, 1, Aldgoat Leather, 1, Beast Sinew, 1, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(102, 25, 25, null, ../../assets/recipe-icons/weaver/striped-velveteen-slops.png, Striped Velveteen Slops, 1, Undyed Velveteen, 2, Aldgoat Leather, 1, Beast Sinew, 1, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(103, 26, 25, null, ../../assets/recipe-icons/weaver/velveteen-turban.png, Velveteen Turban, 1, Undyed Velveteen, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(104, 26, 25, null, ../../assets/recipe-icons/weaver/altered-velveteen-bandana.png, Altered Velveteen Bandana, 1, Undyed Velveteen, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(105, 26, 25, null, ../../assets/recipe-icons/weaver/velveteen-shirt.png, Velveteen Shirt, 1, Undyed Velveteen, 1, Dew Thread, 1, Aldgoat Leather, 2, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(106, 26, 25, null, ../../assets/recipe-icons/weaver/tarred-velveteen-longsash.png, Tarred Velveteen Longsash, 1, Undyed Velveteen, 3, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Lightning Shard, 2, Wind Shard, 2),
(107, 27, 27, null, ../../assets/recipe-icons/weaver/velveteen-wedge-cap-of-crafting.png, Velveteen Wedge Cap of Crafting, 1, Undyed Velveteen, 1, Undyed Cotton Cloth, 1, Dew Thread, 1, null, null, null, null, null, null, Lightning Shard, 3, Wind Shard, 2),
(108, 27, 27, null, ../../assets/recipe-icons/weaver/velveteen-cowl.png, Velveteen Cowl, 1, Undyed Velveteen, 4, Dew Thread, 1, null, null, null, null, null, null, null, null, Lightning Shard, 3, Wind Shard, 2),
(109, 27, 26, null, ../../assets/recipe-icons/weaver/velveteen-rope-belt.png, Velveteen Rope Belt, 1, Undyed Velveteen, 3, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 3, Wind Shard, 2),
(110, 27, 27, null, ../../assets/recipe-icons/weaver/velveteen-tights.png, Velveteen Tights, 1, Undyed Velveteen, 2, Dew Thread, 1, null, null, null, null, null, null, null, null, Lightning Shard, 3, Wind Shard, 2),
(111, 28, 27, null, ../../assets/recipe-icons/weaver/velveteen-wedge-cap-of-gathering.png, Velveteen Wedge Cap of Gathering, 1, Undyed Velveteen, 1, Undyed Cotton Cloth, 1, Dew Thread, 1, null, null, null, null, null, null, Lightning Shard, 3, Wind Shard, 2),
(112, 28, 27, null, ../../assets/recipe-icons/weaver/velveteen-coatee-of-gathering.png, Velveteen Coatee of Gathering, 1, Undyed Velveteen, 2, Dew Thread, 2, Silver Ingot, 1, null, null, null, null, null, null, Lightning Shard, 3, Wind Shard, 2),
(113, 28, 28, null, ../../assets/recipe-icons/weaver/velveteen-half-apron.png, Velveteen Half Apron, 1, Undyed Velveteen, 2, Dew Thread, 1, Silver Ingot, 1, null, null, null, null, null, null, Lightning Shard, 3, Wind Shard, 2),
