(1, 1, null, null, ../../assets/recipe-icons/distilled-water.png, Distilled Water, 1, Muddy Water, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(20, 13, 13, null, ../../assets/recipe-icons/ash-picatrix.png, Ash Picatrix, 1, Enchanted Copper Ink, 1, Ash Lumber, 1, Ash Log, 1, Cotton Yarn, 1, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(21, 14, null, null, ../../assets/recipe-icons/clove-oil.png, Clove Oil, 3, Cloves, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(22, 14, null, null, ../../assets/recipe-icons/enchanted-iron-ink.png, Enchanted Iron Ink, 1, Iron Sand, 2, Viscous Secretions, 1, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(23, 15, null, null, ../../assets/recipe-icons/growth-formula-beta.png, Growth Formula Beta, 1, Jellyfish Umbrella, 1, Quicksilver, 1, Rock Salt, 1, null, null, null, null, null, null, Water Shard, 1, null, null),
(24, 15, null, null, ../../assets/recipe-icons/ether.png, Ether, 3, Distilled Water, 1, Tinolqa Mistletoe, 1, Imp Wing, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(25, 16, 15, null, ../../assets/recipe-icons/hard-leather-grimoire.png, Hard Leather Grimoire, 1, Enchanted Iron Ink, 1, Hard Leather, 1, Elm Log, 1, Cotton Yarn, 1, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(26, 16, 16, null, ../../assets/recipe-icons/ash-wand.png, Ash Wand, 1, Ash Branch, 1, Growth Formula Beta, 1, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(27, 16, null, null, ../../assets/recipe-icons/potion-of-intelligence.png, Potion of Intelligence, 3, Rock Salt, 1, Beastkin Blood, 1, Red Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(28, 17, null, null, ../../assets/recipe-icons/potion-of-dexterity.png, Potion of Dexterity, 3, Rock Salt, 1, Bat Fang, 1, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(29, 18, null, null, ../../assets/recipe-icons/firebricks.png, Firebricks, 1, Mudstone, 2, Potter's Clay, 1, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(30, 18, null, null, ../../assets/recipe-icons/potion-of-vitality.png, Potion of Vitality, 3, Rock Salt, 1, Goobbue Fang, 1, Lavender, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(31, 19, null, null, ../../assets/recipe-icons/jellyfish-humours.png, Jellyfish Humours, 1, Jellyfish Umbrella, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(32, 19, null, null, ../../assets/recipe-icons/potion-of-strength.png, Potion of Strength, 3, Rock Salt, 1, Yellow Yarzon Leg, 1, White Scorpion, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(33, 20, null, null, ../../assets/recipe-icons/mortar.png, Mortar, 1, Limestone, 2, Fine Sand, 1, Distilled Water, 1, null, null, null, null, null, null, Water Shard, 1, null, null),
(34, 20, 20, null, ../../assets/recipe-icons/engraved-hard-leather-grimoire.png, Engraved Hard Leather Grimoire, 1, Hard Leather Grimoire, 1, Hard Leather, 2, Yew Log, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(35, 20, null, null, ../../assets/recipe-icons/potion-of-mind.png, Potion of Mind, 3, Rock Salt, 1, Viscous Secretions, 1, Jellyfish Umbrella, 1, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(36, 21, 21, null, ../../assets/recipe-icons/budding-ash-wand.png, Budding Ash Wand, 1, Ash Wand, 1, Growth Formula Beta, 2, null, null, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(37, 21, null, null, ../../assets/recipe-icons/weak-poisoning-potion.png, Weak Poisoning Potion, 3, Quicksilver, 1, Grass Viper, 1, Jellyfish Cnida, 1, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(38, 21, null, null, ../../assets/recipe-icons/weak-blinding-potion.png, Weak Blinding Potion, 3, Quicksilver, 1, Bat Wing, 1, Bat Fang, 1, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(39, 21, null, null, ../../assets/recipe-icons/weak-sleeping-potion.png, Weak Sleeping Potion, 3, Quicksilver, 1, Red Landtrap Leaf, 1, Jellyfish Humours, 1, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(40, 21, null, null, ../../assets/recipe-icons/weak-paralyzing-potion.png, Weak Paralyzing Potion, 3, Quicksilver, 1, Jellyfish Cnida, 1, Jellyfish Humours, 1, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(41, 22, 22, null, ../../assets/recipe-icons/yew-picatrix.png, Yew Picatrix, 1, Enchanted Iron Ink, 1, Yew Lumber, 1, Yew Log, 1, Cotton Yarn, 1, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(42, 22, null, null, ../../assets/recipe-icons/echo-drops.png, Echo Drops, 3, Rock Salt, 1, Lavender, 1, Marjoram, 1, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(43, 22, null, null, ../../assets/recipe-icons/weak-silencing-potion.png, Weak Silencing Potion, 3, Quicksilver, 1, Blowfish, 1, Bat Wing, 1, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(44, 23, null, null, ../../assets/recipe-icons/enchanted-silver-ink.png, Enchanted Silver Ink, 1, Silver Sand, 2, Acidic Secretions, 1, null, null, null, null, null, null, null, null, Water Shard, 2, null, null),
(45, 24, 26, null, ../../assets/recipe-icons/goatskin-grimoire.png, Goatskin Grimoire, 1, Enchanted Silver Ink, 1, Aldgoat Leather, 1, Yew Log, 1, Dew Thread, 1, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(46, 25, null, null, ../../assets/recipe-icons/natron.png, Natron, 1, Effervescent Water, 1, Rock Salt, 1, null, null, null, null, null, null, null, null, Water Shard, 2, null, null),
(47, 25, null, null, ../../assets/recipe-icons/hi-potion.png, Hi-Potion, 3, Distilled Water, 1, Matron's Mistletoe, 1, Gil Bun, 1, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(48, 26, null, null, ../../assets/recipe-icons/crab-oil.png, Crab Oil, 1, Megalocrab Leg, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 2, null, null),
(49, 27, 26, null, ../../assets/recipe-icons/whispering-ash-wand.png, Whispering Ash Wand, 1, Ash Wand, 1, Growth Formula Beta, 1, Scalekin Blood, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 2),
(50, 28, null, null, ../../assets/recipe-icons/clear-glass-lens.png, Clear Glass Lens, 1, Silex, 1, Natron, 1, null, null, null, null, null, null, null, null, Water Shard, 3, null, null),
(51, 28, 29, null, ../../assets/recipe-icons/yew-wand.png, Yew Wand, 1, Yew Branch, 1, Growth Formula Beta, 1, null, null, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 2),
(52, 29, null, null, ../../assets/recipe-icons/linseed-oil.png, Linseed Oil, 1, Flax, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 3, null, null),
(53, 29, 30, null, ../../assets/recipe-icons/engraved-goatskin-grimoire.png, Engraved Goatskin Grimoire, 1, Goatskin Grimoire, 1, Aldgoat Leather, 2, Walnut Log, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 2),
(54, 30, null, null, ../../assets/recipe-icons/growth-formula-gamma.png, Growth Formula Gamma, 1, Blue Landtrap Leaf, 1, Quicksilver, 1, Rock Salt, 1, null, null, null, null, null, null, Water Shard, 3, null, null),
(55, 30, null, null, ../../assets/recipe-icons/horn-glue.png, Horn Glue, 1, Aldgoat Horn, 2, null, null, null, null, null, null, null, null, null, null, Water Shard, 3, null, null),
(56, 30, null, null, ../../assets/recipe-icons/spine-drops.png, Spine Drops, 3, Rock Salt, 1, Wolf Fang, 1, Pearl Ginger, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(57, 30, null, null, ../../assets/recipe-icons/riptide-orchestrion-roll.png, Riptide Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Silver Ink, 1, Faded Copy of Riptide, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(58, 30, null, null, ../../assets/recipe-icons/dark-vows-orchestrion-roll.png, Dark Vows Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Silver Ink, 1, Faded Copy of Dark Vows, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(59, 30, null, null, ../../assets/recipe-icons/the-dark's-embrace-orchestrion-roll.png, The Dark's Embrace Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Silver Ink, 1, Faded Copy of The Dark's Embrace, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(60, 31, null, null, ../../assets/recipe-icons/hi-potion-of-dexterity.png, Hi-Potion of Dexterity, 3, Rock Salt, 1, Scalekin Blood, 1, Belladonna, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(61, 31, null, null, ../../assets/recipe-icons/hi-potion-of-mind.png, Hi-Potion of Mind, 3, Rock Salt, 1, Treant Sap, 1, Moor Leech, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(62, 32, null, null, ../../assets/recipe-icons/black-firesand.png, Black Firesand, 1, Saltpeter, 3, Brimstone, 3, Oak Log, 1, null, null, null, null, null, null, Water Shard, 3, null, null),
(63, 32, null, null, ../../assets/recipe-icons/hi-potion-of-vitality.png, Hi-Potion of Vitality, 3, Rock Salt, 1, Treant Sap, 1, Puk Wing, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(64, 32, null, null, ../../assets/recipe-icons/hi-potion-of-intelligence.png, Hi-Potion of Intelligence, 3, Rock Salt, 1, Pearl Ginger, 1, Treant Sap, 1, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(65, 33, null, null, ../../assets/recipe-icons/enchanted-mythril-ink.png, Enchanted Mythril Ink, 1, Mythril Sand, 2, Scalekin Blood, 1, null, null, null, null, null, null, null, null, Water Shard, 4, null, null),
(66, 33, null, null, ../../assets/recipe-icons/hi-potion-of-strength.png, Hi-Potion of Strength, 3, Rock Salt, 1, Blue Yarzon Leg, 1, Gil Bun, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(67, 34, 34, null, ../../assets/recipe-icons/book-of-silver.png, Book of Silver, 1, Enchanted Silver Ink, 1, Silver Ingot, 1, Oak Log, 1, Linen Yarn, 1, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(68, 34, 34, null, ../../assets/recipe-icons/budding-yew-wand.png, Budding Yew Wand, 1, Yew Wand, 1, Growth Formula Beta, 2, Scalekin Blood, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(69, 34, null, null, ../../assets/recipe-icons/fire-ward-potion.png, Fire Ward Potion, 3, Rock Salt, 1, Sunstone, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(70, 34, null, null, ../../assets/recipe-icons/ice-ward-potion.png, Ice Ward Potion, 3, Rock Salt, 1, Danburite, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(71, 34, null, null, ../../assets/recipe-icons/wind-ward-potion.png, Wind Ward Potion, 3, Rock Salt, 1, Malachite, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(72, 34, null, null, ../../assets/recipe-icons/earth-ward-potion.png, Earth Ward Potion, 3, Rock Salt, 1, Sphene, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(73, 34, null, null, ../../assets/recipe-icons/lightning-ward-potion.png, Lightning Ward Potion, 3, Rock Salt, 1, Fluorite, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(74, 34, null, null, ../../assets/recipe-icons/water-ward-potion.png, Water Ward Potion, 3, Rock Salt, 1, Lapis Lazuli, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(75, 35, 38, null, ../../assets/recipe-icons/maddening-daggers.png, Maddening Daggers, 1, Cracked Daggers, 1, Paralyzing Potion, 1, null, null, null, null, null, null, null, null, Earth Crystal, 1, null, null),
(76, 35, 38, null, ../../assets/recipe-icons/vintage-picatrix.png, Vintage Picatrix, 1, Brittle Picatrix, 1, Oak Log, 1, null, null, null, null, null, null, null, null, Water Crystal, 1, null, null),
(77, 35, null, null, ../../assets/recipe-icons/hi-ether.png, Hi-Ether, 3, Distilled Water, 1, Matron's Mistletoe, 1, Mandrake, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(78, 35, null, null, ../../assets/recipe-icons/poisoning-potion.png, Poisoning Potion, 3, Quicksilver, 1, Morbol Vine, 1, Formic Acid, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(79, 35, null, null, ../../assets/recipe-icons/paralyzing-potion.png, Paralyzing Potion, 3, Quicksilver, 1, Morbol Vine, 1, Mandrake, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(80, 36, null, null, ../../assets/recipe-icons/blinding-potion.png, Blinding Potion, 3, Quicksilver, 1, Morbol Vine, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 4),
(81, 36, null, null, ../../assets/recipe-icons/sleeping-potion.png, Sleeping Potion, 3, Quicksilver, 1, Morbol Vine, 1, Belladonna, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 4),
(82, 37, null, null, ../../assets/recipe-icons/silencing-potion.png, Silencing Potion, 3, Quicksilver, 1, Morbol Vine, 1, Tarantula, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 4),
(83, 38, 38, null, ../../assets/recipe-icons/embossed-book-of-silver.png, Embossed Book of Silver, 1, Book of Silver, 1, Silver Ingot, 2, null, null, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 4),
(84, 38, 38, null, ../../assets/recipe-icons/budding-oak-wand.png, Budding Oak Wand, 1, Oak Branch, 1, Growth Formula Alpha, 1, Hi-Potion of Mind, 1, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 4),
(85, 39, null, null, ../../assets/recipe-icons/clinker-bricks.png, Clinker Bricks, 1, Grenade Ash, 1, Siltstone, 2, Potter's Clay, 1, null, null, null, null, null, null, Water Shard, 5, null, null),
(86, 39, 42, null, ../../assets/recipe-icons/wand-of-tremors.png, Wand of Tremors, 1, Oak Branch, 1, Eye of Earth, 1, Growth Formula Gamma, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 4),
(87, 39, 42, null, ../../assets/recipe-icons/wand-of-frost.png, Wand of Frost, 1, Oak Branch, 1, Eye of Ice, 1, Growth Formula Gamma, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 4),
(88, 39, 42, null, ../../assets/recipe-icons/wand-of-tides.png, Wand of Tides, 1, Oak Branch, 1, Eye of Water, 1, Growth Formula Gamma, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 4),
(89, 40, null, null, ../../assets/recipe-icons/lanolin.png, Lanolin, 1, Karakul Skin, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 5, null, null),
(90, 40, null, null, ../../assets/recipe-icons/smelling-salts.png, Smelling Salts, 3, Rock Salt, 1, Desert Saffron, 1, Blue Landtrap Leaf, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 4),
(91, 41, null, null, ../../assets/recipe-icons/shark-oil.png, Shark Oil, 1, Silver Shark, 1, Hammerhead Shark, 1, null, null, null, null, null, null, null, null, Water Shard, 5, null, null),
(92, 41, null, null, ../../assets/recipe-icons/varnish.png, Varnish, 1, Raw Amber, 2, Linseed Oil, 1, Terebinth, 1, null, null, null, null, null, null, Water Shard, 5, null, null),
(93, 42, 41, null, ../../assets/recipe-icons/book-of-mythril.png, Book of Mythril, 1, Mythril Ingot, 2, Flax, 1, Enchanted Mythril Ink, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 5),
(94, 43, null, null, ../../assets/recipe-icons/enchanted-electrum-ink.png, Enchanted Electrum Ink, 1, Electrum Sand, 2, Spoken Blood, 1, null, null, null, null, null, null, null, null, Water Shard, 5, null, null),
(95, 43, null, null, ../../assets/recipe-icons/mega-potion.png, Mega-Potion, 3, Distilled Water, 1, Mistletoe, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 5),
(96, 44, null, null, ../../assets/recipe-icons/mega-potion-of-mind.png, Mega-Potion of Mind, 3, Rock Salt, 1, Ahriman Wing, 1, Blue Yarzon Leg, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 5),
(97, 45, 45, null, ../../assets/recipe-icons/book-of-electrum.png, Book of Electrum, 1, Enchanted Electrum Ink, 1, Electrum Ingot, 2, Cobalt Ingot, 1, Rosewood Log, 1, Woolen Yarn, 1, null, null, Water Shard, 6, Lightning Shard, 5),
(98, 45, 46, null, ../../assets/recipe-icons/wand-of-gales.png, Wand of Gales, 1, Rosewood Branch, 1, Eye of Wind, 1, Growth Formula Gamma, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(99, 45, 46, null, ../../assets/recipe-icons/wand-of-storms.png, Wand of Storms, 1, Rosewood Branch, 1, Eye of Lightning, 1, Growth Formula Gamma, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(100, 45, 46, null, ../../assets/recipe-icons/wand-of-flames.png, Wand of Flames, 1, Rosewood Branch, 1, Eye of Fire, 1, Growth Formula Gamma, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(101, 45, null, null, ../../assets/recipe-icons/mega-potion-of-strength.png, Mega-Potion of Strength, 3, Rock Salt, 1, Shark Oil, 1, Sagolii Sage, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(102, 45, null, null, ../../assets/recipe-icons/mega-potion-of-intelligence.png, Mega-Potion of Intelligence, 3, Rock Salt, 1, Black Scorpion, 1, Sandworm Fang, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(103, 46, null, null, ../../assets/recipe-icons/gold-needle.png, Gold Needle, 3, Electrum Ingot, 1, Ahriman Wing, 1, Spoken Blood, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(104, 46, null, null, ../../assets/recipe-icons/mega-potion-of-dexterity.png, Mega-Potion of Dexterity, 3, Rock Salt, 1, Dart Frog, 1, Spoken Blood, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(105, 46, null, null, ../../assets/recipe-icons/mega-potion-of-vitality.png, Mega-Potion of Vitality, 3, Rock Salt, 1, Grenade Ash, 1, Pudding Flesh, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(106, 47, null, null, ../../assets/recipe-icons/potent-poisoning-potion.png, Potent Poisoning Potion, 3, Quicksilver, 1, Ochu Vine, 1, Pudding Flesh, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(107, 47, null, null, ../../assets/recipe-icons/potent-paralyzing-potion.png, Potent Paralyzing Potion, 3, Quicksilver, 1, Ochu Vine, 1, Black Scorpion, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(108, 48, null, null, ../../assets/recipe-icons/potent-silencing-potion.png, Potent Silencing Potion, 3, Quicksilver, 1, Ochu Vine, 1, Dart Frog, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(109, 48, null, null, ../../assets/recipe-icons/potent-sleeping-potion.png, Potent Sleeping Potion, 3, Quicksilver, 1, Ochu Vine, 1, Desert Saffron, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(110, 49, 49, null, ../../assets/recipe-icons/embossed-book-of-electrum.png, Embossed Book of Electrum, 1, Book of Electrum, 1, Electrum Ingot, 2, Cobalt Ingot, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(111, 49, 49, null, ../../assets/recipe-icons/budding-rosewood-wand.png, Budding Rosewood Wand, 1, Rosewood Branch, 1, Growth Formula Gamma, 1, Spoken Blood, 1, Mega-Potion of Mind, 1, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(112, 49, null, null, ../../assets/recipe-icons/potent-blinding-potion.png, Potent Blinding Potion, 3, Quicksilver, 1, Ochu Vine, 1, Formic Acid, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(113, 50, 50, null, ../../assets/recipe-icons/tane-mahuta.png, Tane Mahuta, 1, Rosewood Branch, 1, Growth Formula Gamma, 1, Spoken Blood, 1, Ochu Vine, 1, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(114, 50, null, null, ../../assets/recipe-icons/mega-ether.png, Mega-Ether, 3, Distilled Water, 1, Mistletoe, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(115, 50, null, null, ../../assets/recipe-icons/elixir.png, Elixir, 3, Distilled Water, 1, Mistletoe, 1, Nutmeg, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(116, 50, null, null, ../../assets/recipe-icons/fire-ward-hi-potion.png, Fire Ward Hi-Potion, 3, Rock Salt, 1, Raw Garnet, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(117, 50, null, null, ../../assets/recipe-icons/water-ward-hi-potion.png, Water Ward Hi-Potion, 3, Rock Salt, 1, Raw Aquamarine, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(118, 50, null, null, ../../assets/recipe-icons/earth-ward-hi-potion.png, Earth Ward Hi-Potion, 3, Rock Salt, 1, Raw Heliodor, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(119, 50, null, null, ../../assets/recipe-icons/ice-ward-hi-potion.png, Ice Ward Hi-Potion, 3, Rock Salt, 1, Raw Goshenite, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(120, 50, null, null, ../../assets/recipe-icons/wind-ward-hi-potion.png, Wind Ward Hi-Potion, 3, Rock Salt, 1, Raw Peridot, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(121, 50, null, null, ../../assets/recipe-icons/lightning-ward-hi-potion.png, Lightning Ward Hi-Potion, 3, Rock Salt, 1, Raw Amethyst, 1, Mugwort, 1, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(122, 50, null, null, ../../assets/recipe-icons/another-round-orchestrion-roll.png, Another Round Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Mythril Ink, 1, Faded Copy of Another Round, 1, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(123, 50, null, null, ../../assets/recipe-icons/the-only-path-orchestrion-roll.png, The Only Path Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Electrum Ink, 1, Faded Copy of The Only Path, 1, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(124, 50, null, null, ../../assets/recipe-icons/a-world-apart-orchestrion-roll.png, A World Apart Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Electrum Ink, 1, Faded Copy of A World Apart, 1, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(125, 50 , null, null, ../../assets/recipe-icons/growth-formula-delta.png, Growth Formula Delta, 1, Trillium Bulb, 1, Quicksilver, 1, Rock Salt, 1, null, null, null, null, null, null, Water Crystal, 3, null, null),
