(1, 1, null, null, ../../assets/recipe-icons/leatherworker/leather.png, Leather, 1, Animal Skin, 1, null, null, null, null, null, null, null, null, null, null, Earth Shard, 1, null, null),
(16, 6, 8, null, ../../assets/recipe-icons/leatherworker/leather-mitts.png, Leather Mitts, 1, Leather, 2, Animal Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(17, 6, 5, null, ../../assets/recipe-icons/leatherworker/leather-lightmitts.png, Leather Lightmitts, 1, Leather, 2, Animal Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(18, 6, 8, null, ../../assets/recipe-icons/leatherworker/leather-ringbands.png, Leather Ringbands, 1, Leather, 1, Bronze Ingot, 1, Hempen Yarn, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(19, 6, 8, null, ../../assets/recipe-icons/leatherworker/leather-boots.png, Leather Boots, 1, Leather, 1, Undyed Hempen Cloth, 1, Animal Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(20, 7, 8, null, ../../assets/recipe-icons/leatherworker/leather-himantes.png, Leather Himantes, 1, Leather, 2, Bronze Ingot, 1, Undyed Hempen Cloth, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(21, 7, 8, null, ../../assets/recipe-icons/leatherworker/leather-wristbands.png, Leather Wristbands, 1, Leather, 1, Animal Glue, 1, Bone Chip, 2, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(22, 8, null, null, ../../assets/recipe-icons/leatherworker/hard-leather.png, Hard Leather, 1, Animal Hide, 1, null, null, null, null, null, null, null, null, null, null, Earth Shard, 1, null, null),
(23, 8, 8, null, ../../assets/recipe-icons/leatherworker/hard-leather-pot-helm.png, Hard Leather Pot Helm, 1, Leather, 1, Hard Leather, 1, Bronze Rivets, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(24, 8, 8, null, ../../assets/recipe-icons/leatherworker/leather-leggings.png, Leather Leggings, 1, Leather, 2, Undyed Hempen Cloth, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(25, 8, 5, null, ../../assets/recipe-icons/leatherworker/leather-sandals.png, Leather Sandals, 1, Leather, 1, Maple Lumber, 1, Animal Sinew, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(26, 8, 5, null, ../../assets/recipe-icons/leatherworker/altered-leather-thighboots.png, Altered Leather Thighboots, 1, Leather, 1, Maple Lumber, 1, Animal Sinew, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(27, 9, 10, null, ../../assets/recipe-icons/leatherworker/amateur's-smithing-gloves.png, Amateur's Smithing Gloves, 1, Hard Leather, 2, Animal Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(28, 9, 10, null, ../../assets/recipe-icons/leatherworker/amateur's-thighboots.png, Amateur's Thighboots, 1, Hard Leather, 1, Undyed Hempen Cloth, 1, Rubber, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(29, 9, 10, null, ../../assets/recipe-icons/leatherworker/amateur's-duckbills.png, Amateur's Duckbills, 1, Hard Leather, 1, Undyed Hempen Cloth, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(30, 10, 10, null, ../../assets/recipe-icons/leatherworker/leather-jacket.png, Leather Jacket, 1, Hard Leather, 3, Animal Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(31, 10, 11, null, ../../assets/recipe-icons/leatherworker/hard-leather-wristguards.png, Hard Leather Wristguards, 1, Hard Leather, 1, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(32, 10, 10, null, ../../assets/recipe-icons/leatherworker/hard-leather-merchant's-pouch.png, Hard Leather Merchant's Pouch, 1, Hard Leather, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(33, 11, 10, null, ../../assets/recipe-icons/leatherworker/amateur's-headgear.png, Amateur's Headgear, 1, Hard Leather, 1, Bronze Ingot, 1, Bronze Rivets, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(34, 11, 10, null, ../../assets/recipe-icons/leatherworker/leather-survival-belt.png, Leather Survival Belt, 1, Hard Leather, 1, Undyed Hempen Cloth, 1, Bronze Ingot, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(35, 11, 11, null, ../../assets/recipe-icons/leatherworker/hard-leather-shoes.png, Hard Leather Shoes, 1, Hard Leather, 1, Beast Sinew, 1, Rubber, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(36, 12, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-harness.png, Hard Leather Harness, 1, Hard Leather, 1, Leather, 1, Bronze Ingot, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(37, 12, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-satchel-belt.png, Hard Leather Satchel Belt, 1, Hard Leather, 1, Copper Ingot, 1, Hempen Yarn, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(38, 12, 10, null, ../../assets/recipe-icons/leatherworker/leather-jackboots.png, Leather Jackboots, 1, Hard Leather, 1, Beast Sinew, 1, Undyed Hempen Cloth, 1, Rubber, 1, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(39, 12, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-sandals.png, Hard Leather Sandals, 1, Hard Leather, 1, Ash Lumber, 1, Beast Sinew, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(40, 13, 12, null, ../../assets/recipe-icons/leatherworker/leather-targe.png, Leather Targe, 1, Leather, 2, Ash Lumber, 1, Bronze Rivets, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(41, 13, 13, null, ../../assets/recipe-icons/leatherworker/hard-leather-armguards.png, Hard Leather Armguards, 1, Hard Leather, 2, Bronze Ingot, 1, Bronze Rivets, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(42, 13, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-hunting-belt.png, Hard Leather Hunting Belt, 1, Hard Leather, 1, Leather, 1, Copper Ingot, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(43, 14, 14, null, ../../assets/recipe-icons/leatherworker/hard-leather-himantes.png, Hard Leather Himantes, 1, Hard Leather, 2, Iron Ingot, 1, Undyed Hempen Cloth, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(44, 14, 14, null, ../../assets/recipe-icons/leatherworker/hard-leather-eyepatch.png, Hard Leather Eyepatch, 1, Hard Leather, 1, Beast Sinew, 1, Hempen Yarn, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(45, 14, 14, null, ../../assets/recipe-icons/leatherworker/hard-leather-lightmitts.png, Hard Leather Lightmitts, 1, Hard Leather, 2, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(46, 14, 14, null, ../../assets/recipe-icons/leatherworker/hard-leather-lightpouch.png, Hard Leather Lightpouch, 1, Hard Leather, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(47, 14, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-subligar.png, Hard Leather Subligar, 1, Hard Leather, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(48, 14, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-kecks.png, Hard Leather Kecks, 1, Hard Leather, 1, Undyed Hempen Cloth, 1, Hempen Yarn, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(49, 14, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-caligae.png, Hard Leather Caligae, 1, Hard Leather, 1, Bronze Rivets, 1, Beast Sinew, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(50, 14, 12, null, ../../assets/recipe-icons/leatherworker/hard-leather-thighboots.png, Hard Leather Thighboots, 1, Hard Leather, 1, Bronze Rivets, 1, Beast Sinew, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(51, 15, 15, null, ../../assets/recipe-icons/leatherworker/fingerless-hard-leather-gloves.png, Fingerless Hard Leather Gloves, 1, Hard Leather, 2, Iron Rivets, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(52, 15, 15, null, ../../assets/recipe-icons/leatherworker/hard-leather-crakows.png, Hard Leather Crakows, 1, Hard Leather, 1, Bronze Ingot, 1, Beast Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(53, 15, 15, null, ../../assets/recipe-icons/leatherworker/hard-leather-boots.png, Hard Leather Boots, 1, Hard Leather, 1, Undyed Hempen Cloth, 1, Beast Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(54, 15, 15, null, ../../assets/recipe-icons/leatherworker/hard-leather-choker.png, Hard Leather Choker, 1, Hard Leather, 1, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(55, 16, 16, null, ../../assets/recipe-icons/leatherworker/hard-leather-ringbands.png, Hard Leather Ringbands, 1, Hard Leather, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(56, 16, 17, null, ../../assets/recipe-icons/leatherworker/hard-leather-belt.png, Hard Leather Belt, 1, Hard Leather, 1, Iron Ingot, 1, Beast Sinew, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(57, 16, 17, null, ../../assets/recipe-icons/leatherworker/hard-leather-shepherd's-belt.png, Hard Leather Shepherd's Belt, 1, Hard Leather, 2, Brass Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(58, 17, null, null, ../../assets/recipe-icons/leatherworker/aldgoat-leather.png, Aldgoat Leather, 1, Aldgoat Skin, 1, Alumen, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, null, null),
(59, 17, 15, null, ../../assets/recipe-icons/leatherworker/hard-leather-skullcap.png, Hard Leather Skullcap, 1, Hard Leather, 2, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(60, 17, 15, null, ../../assets/recipe-icons/leatherworker/hard-leather-espadrilles.png, Hard Leather Espadrilles, 1, Hard Leather, 1, Beast Sinew, 1, Elm Lumber, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(61, 17, 17, null, ../../assets/recipe-icons/leatherworker/hard-leather-wristbands.png, Hard Leather Wristbands, 1, Hard Leather, 1, Fish Glue, 1, White Coral, 2, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(62, 17, 17, null, ../../assets/recipe-icons/leatherworker/hard-leather-wristbands-of-gathering.png, Hard Leather Wristbands of Gathering, 1, Hard Leather, 1, Fish Glue, 1, White Coral, 2, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(63, 18, 19, null, ../../assets/recipe-icons/leatherworker/hard-leather-cesti.png, Hard Leather Cesti, 1, Aldgoat Leather, 1, Beast Sinew, 1, Bronze Ingot, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(64, 18, 17, null, ../../assets/recipe-icons/leatherworker/goatskin-mitts.png, Goatskin Mitts, 1, Aldgoat Leather, 2, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(65, 18, 16, null, ../../assets/recipe-icons/leatherworker/goatskin-wristguards.png, Goatskin Wristguards, 1, Aldgoat Leather, 1, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(66, 19, 18, null, ../../assets/recipe-icons/leatherworker/goatskin-pot-helm.png, Goatskin Pot Helm, 1, Aldgoat Leather, 1, Hard Leather, 1, Iron Rivets, 1, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(67, 19, 18, null, ../../assets/recipe-icons/leatherworker/goatskin-tool-belt.png, Goatskin Tool Belt, 1, Aldgoat Leather, 2, Iron Rivets, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(68, 19, 17, null, ../../assets/recipe-icons/leatherworker/goatskin-leggings.png, Goatskin Leggings, 1, Aldgoat Leather, 2, Undyed Cotton Cloth, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(69, 20, 20, null, ../../assets/recipe-icons/leatherworker/initiate's-gloves.png, Initiate's Gloves, 1, Aldgoat Leather, 2, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(70, 20, 20, null, ../../assets/recipe-icons/leatherworker/goatskin-ring.png, Goatskin Ring, 1, Aldgoat Leather, 1, Cotton Yarn, 1, null, null, null, null, null, null, null, null, Earth Shard, 1, Wind Shard, 1),
(71, 21, 19, null, ../../assets/recipe-icons/leatherworker/padded-leather-duckbills.png, Padded Leather Duckbills, 1, Leather Duckbills, 1, Leather, 1, Undyed Cotton Cloth, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(72, 21, 19, null, ../../assets/recipe-icons/leatherworker/padded-leather-duckbills-of-gathering.png, Padded Leather Duckbills of Gathering, 1, Leather Duckbills, 1, Leather, 1, Undyed Cotton Cloth, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(73, 21, 20, null, ../../assets/recipe-icons/leatherworker/initiate's-thighboots.png, Initiate's Thighboots, 1, Aldgoat Leather, 1, Hard Leather, 1, Undyed Cotton Cloth, 1, Rubber, 1, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(74, 22, 20, null, ../../assets/recipe-icons/leatherworker/initiate's-headgear.png, Initiate's Headgear, 1, Aldgoat Leather, 1, Iron Ingot, 1, Iron Rivets, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(75, 22, 20, null, ../../assets/recipe-icons/leatherworker/goatskin-jacket.png, Goatskin Jacket, 1, Aldgoat Leather, 3, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(76, 22, 20, null, ../../assets/recipe-icons/leatherworker/goatskin-armguards.png, Goatskin Armguards, 1, Aldgoat Leather, 2, Iron Rivets, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(77, 22, 20, null, ../../assets/recipe-icons/leatherworker/goatskin-brais.png, Goatskin Brais, 1, Aldgoat Leather, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Beast Sinew, 1, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(78, 23, 20, null, ../../assets/recipe-icons/leatherworker/goatskin-eyepatch.png, Goatskin Eyepatch, 1, Aldgoat Leather, 1, Beast Sinew, 1, Cotton Yarn, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(79, 23, 23, null, ../../assets/recipe-icons/leatherworker/goatskin-lightmitts.png, Goatskin Lightmitts, 1, Aldgoat Leather, 2, Beast Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(80, 23, 20, null, ../../assets/recipe-icons/leatherworker/voyager's-belt.png, Voyager's Belt, 1, Aldgoat Leather, 1, Beast Sinew, 1, Iron Ingot, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(81, 23, 20, null, ../../assets/recipe-icons/leatherworker/goatskin-leg-guards.png, Goatskin Leg Guards, 1, Aldgoat Leather, 2, Beast Sinew, 1, Iron Ingot, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 1),
(82, 24, 23, null, ../../assets/recipe-icons/leatherworker/goatskin-belt.png, Goatskin Belt, 1, Aldgoat Leather, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(83, 24, 23, null, ../../assets/recipe-icons/leatherworker/goatskin-satchel-belt.png, Goatskin Satchel Belt, 1, Aldgoat Leather, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(84, 24, 23, null, ../../assets/recipe-icons/leatherworker/goatskin-breeches.png, Goatskin Breeches, 1, Aldgoat Leather, 2, Undyed Cotton Cloth, 2, Cotton Yarn, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(85, 24, 24, null, ../../assets/recipe-icons/leatherworker/goatskin-duckbills.png, Goatskin Duckbills, 1, Aldgoat Leather, 1, Undyed Velveteen, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(86, 25, 25, null, ../../assets/recipe-icons/leatherworker/fingerless-goatskin-gloves.png, Fingerless Goatskin Gloves, 1, Aldgoat Leather, 2, Iron Rivets, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(87, 25, 25, null, ../../assets/recipe-icons/leatherworker/fingerless-goatskin-gloves-of-gathering.png, Fingerless Goatskin Gloves of Gathering, 1, Aldgoat Leather, 2, Iron Rivets, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(88, 25, 22, null, ../../assets/recipe-icons/leatherworker/goatskin-espadrilles.png, Goatskin Espadrilles, 1, Aldgoat Leather, 1, Beast Sinew, 1, Elm Lumber, 1, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(89, 26, null, null, ../../assets/recipe-icons/leatherworker/toad-leather.png, Toad Leather, 1, Gigantoad Skin, 1, Alumen, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, null, null),
(90, 26, 25, null, ../../assets/recipe-icons/leatherworker/goatskin-crakows.png, Goatskin Crakows, 1, Aldgoat Leather, 1, Iron Ingot, 1, Diremite Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(91, 26, 25, null, ../../assets/recipe-icons/leatherworker/goatskin-choker.png, Goatskin Choker, 1, Aldgoat Leather, 1, Diremite Sinew, 1, null, null, null, null, null, null, null, null, Earth Shard, 2, Wind Shard, 2),
(92, 27, 26, null, ../../assets/recipe-icons/leatherworker/goatskin-ringbands.png, Goatskin Ringbands, 1, Aldgoat Leather, 1, Steel Ingot, 1, null, null, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(93, 27, 27, null, ../../assets/recipe-icons/leatherworker/toadskin-survival-belt.png, Toadskin Survival Belt, 1, Toad Leather, 2, Undyed Cotton Cloth, 1, Iron Ingot, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(94, 27, 25, null, ../../assets/recipe-icons/leatherworker/goatskin-crakows-of-gathering.png, Goatskin Crakows of Gathering, 1, Aldgoat Leather, 1, Iron Ingot, 1, Diremite Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(95, 27, 26, null, ../../assets/recipe-icons/leatherworker/goatskin-boots.png, Goatskin Boots, 1, Aldgoat Leather, 1, Undyed Velveteen, 1, Diremite Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(96, 27, 26, null, ../../assets/recipe-icons/leatherworker/altered-goatskin-moccasins.png, Altered Goatskin Moccasins, 1, Aldgoat Leather, 1, Undyed Velveteen, 1, Diremite Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(97, 27, 27, null, ../../assets/recipe-icons/leatherworker/goatskin-wristbands-of-gathering.png, Goatskin Wristbands of Gathering, 1, Aldgoat Leather, 1, Fish Glue, 1, White Coral, 2, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(98, 28, 26, null, ../../assets/recipe-icons/leatherworker/toadskin-cesti.png, Toadskin Cesti, 1, Toad Leather, 1, Steel Ingot, 1, Diremite Sinew, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(99, 28, 27, null, ../../assets/recipe-icons/leatherworker/toadskin-hunting-belt.png, Toadskin Hunting Belt, 1, Toad Leather, 1, Steel Ingot, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(100, 29, 28, null, ../../assets/recipe-icons/leatherworker/goatskin-targe.png, Goatskin Targe, 1, Aldgoat Leather, 1, Walnut Lumber, 1, Steel Rivets, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(101, 29, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-brais.png, Toadskin Brais, 1, Toad Leather, 1, Undyed Cotton Cloth, 1, Cotton Yarn, 1, Diremite Sinew, 1, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(102, 29, 27, null, ../../assets/recipe-icons/leatherworker/goatskin-wristbands.png, Goatskin Wristbands, 1, Aldgoat Leather, 1, Fish Glue, 1, White Coral, 2, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 2),
(103, 30, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-jacket.png, Toadskin Jacket, 1, Toad Leather, 2, Aldgoat Leather, 1, Diremite Sinew, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(104, 30, 29, null, ../../assets/recipe-icons/leatherworker/toadskin-jerkin.png, Toadskin Jerkin, 1, Toad Leather, 3, Undyed Cotton Cloth, 1, Iron Ingot, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(105, 30, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-armguards.png, Toadskin Armguards, 1, Toad Leather, 2, Steel Ingot, 1, Steel Rivets, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(106, 30, 31, null, ../../assets/recipe-icons/leatherworker/toadskin-boots.png, Toadskin Boots, 1, Toad Leather, 2, Dew Thread, 1, Rubber, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(107, 31, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-voyager's-belt.png, Toadskin Voyager's Belt, 1, Toad Leather, 1, Steel Ingot, 1, Diremite Sinew, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(108, 31, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-culottes.png, Toadskin Culottes, 1, Toad Leather, 2, Undyed Velveteen, 2, null, null, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(109, 31, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-leg-guards.png, Toadskin Leg Guards, 1, Toad Leather, 2, Diremite Sinew, 1, Steel Ingot, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(110, 31, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-workboots.png, Toadskin Workboots, 1, Toad Leather, 2, Undyed Velveteen, 1, Diremite Sinew, 1, Rubber, 1, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(111, 32, 33, null, ../../assets/recipe-icons/leatherworker/toadskin-belt.png, Toadskin Belt, 1, Toad Leather, 1, Steel Ingot, 1, Hippogryph Sinew, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(112, 32, 32, null, ../../assets/recipe-icons/leatherworker/toadskin-breeches.png, Toadskin Breeches, 1, Toad Leather, 2, Undyed Velveteen, 2, Dew Thread, 1, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(113, 32, 30, null, ../../assets/recipe-icons/leatherworker/toadskin-ring.png, Toadskin Ring, 1, Toad Leather, 1, Dew Thread, 1, null, null, null, null, null, null, null, null, Earth Shard, 3, Wind Shard, 3),
(114, 33, null, null, ../../assets/recipe-icons/leatherworker/boar-leather.png, Boar Leather, 1, Boar Hide, 1, Alumen, 1, null, null, null, null, null, null, null, null, Earth Shard, 4, null, null),
(115, 33, 35, null, ../../assets/recipe-icons/leatherworker/boarskin-himantes.png, Boarskin Himantes, 1, Boar Leather, 1, Iron Ingot, 1, Hippogryph Sinew, 1, null, null, null, null, null, null, Earth Shard, 4, Wind Shard, 3),
(116, 33, 33, null, ../../assets/recipe-icons/leatherworker/skull-eyepatch.png, Skull Eyepatch, 1, Toad Leather, 1, Hippogryph Sinew, 1, Dew Thread, 1, null, null, null, null, null, null, Earth Shard, 4, Wind Shard, 3),
