(1, 1, null, null, ../../assets/recipe-icons/culinarian/table-salt.png, Table Salt, 6, Rock Salt, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(17, 6, 6, null, ../../assets/recipe-icons/culinarian/orange-juice.png, Orange Juice, 3, La Noscean Orange, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(18, 7, null, null, ../../assets/recipe-icons/culinarian/sunset-wheat-flour.png, Sunset Wheat Flour, 3, Sunset Wheat, 4, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(19, 7, null, null, ../../assets/recipe-icons/culinarian/smooth-butter.png, Smooth Butter, 5, Buffalo Milk, 2, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(20, 7, 7, null, ../../assets/recipe-icons/culinarian/tree-toad-legs.png, Tree Toad Legs, 3, Tree Toad, 1, Allagan Snail, 1, Smooth Butter, 1, Sunset Wheat Flour, 1, Garlean Garlic, 1, null, null, Fire Shard, 1, Water Shard, 1),
(21, 8, 7, null, ../../assets/recipe-icons/culinarian/chanterelle-saute.png, Chanterelle Saute, 3, Chanterelle, 1, Smooth Butter, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(22, 8, 7, null, ../../assets/recipe-icons/culinarian/braised-pipira.png, Braised Pipira, 3, Pipira, 1, Chanterelle, 1, Smooth Butter, 1, Table Salt, 1, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(23, 9, 8, null, ../../assets/recipe-icons/culinarian/boiled-crayfish.png, Boiled Crayfish, 3, Crimson Crayfish, 1, Table Salt, 1, Mineral Water, 1, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(24, 9, 9, null, ../../assets/recipe-icons/culinarian/mutton-stew.png, Mutton Stew, 3, Mutton Loin, 1, Sunset Wheat Flour, 1, Wild Onion, 1, Coerthan Carrot, 1, Mineral Water, 1, null, null, Fire Shard, 1, Water Shard, 1),
(25, 10, null, null, ../../assets/recipe-icons/culinarian/kukuru-butter.png, Kukuru Butter, 3, Kukuru Bean, 2, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(26, 10, 10, null, ../../assets/recipe-icons/culinarian/goby-ball.png, Goby Ball, 10, Dusk Goby, 3, Rye Flour, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(27, 10, 10, null, ../../assets/recipe-icons/culinarian/jack-o'-lantern.png, Jack-o'-lantern, 3, Ogre Pumpkin, 1, Beeswax, 1, Maple Syrup, 1, Mineral Water, 1, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(28, 10, 10, null, ../../assets/recipe-icons/culinarian/mint-lassi.png, Mint Lassi, 3, Galago Mint, 1, Aldgoat Milk, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(29, 11, null, null, ../../assets/recipe-icons/culinarian/olive-oil.png, Olive Oil, 3, Cinderfoot Olive, 4, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(30, 11, null, null, ../../assets/recipe-icons/culinarian/kukuru-powder.png, Kukuru Powder, 3, Kukuru Bean, 2, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(31, 11, 11, null, ../../assets/recipe-icons/culinarian/grilled-dodo.png, Grilled Dodo, 3, Dodo Tenderloin, 1, Table Salt, 1, Garlean Garlic, 1, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(32, 12, null, null, ../../assets/recipe-icons/culinarian/tomato-sauce.png, Tomato Sauce, 6, Ruby Tomato, 1, Wild Onion, 1, Garlean Garlic, 1, null, null, null, null, null, null, Fire Shard, 1, null, null),
(33, 12, 11, null, ../../assets/recipe-icons/culinarian/bubble-chocolate.png, Bubble Chocolate, 3, Kukuru Powder, 1, Kukuru Butter, 1, Maple Sugar, 1, Buffalo Milk, 1, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(34, 12, 12, null, ../../assets/recipe-icons/culinarian/pearl-chocolate.png, Pearl Chocolate, 3, Kukuru Butter, 1, Maple Sugar, 1, Aldgoat Milk, 1, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(35, 13, 12, null, ../../assets/recipe-icons/culinarian/mole-loaf.png, Mole Loaf, 3, Mole Meat, 1, Wild Onion, 1, Flatbread, 1, Chicken Egg, 1, Tomato Sauce, 1, Black Pepper, 1, Fire Shard, 1, Water Shard, 1),
(36, 13, 13, null, ../../assets/recipe-icons/culinarian/parsnip-salad.png, Parsnip Salad, 3, Alpine Parsnip, 1, Olive Oil, 1, La Noscean Lettuce, 1, Cieldalaes Spinach, 1, Buffalo Beans, 1, Mineral Water, 1, Fire Shard, 1, Water Shard, 1),
(37, 14, null, null, ../../assets/recipe-icons/culinarian/gelatin.png, Gelatin, 5, Bat Wing, 1, Brass Loach, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(38, 14, null, null, ../../assets/recipe-icons/culinarian/pie-dough.png, Pie Dough, 6, Sunset Wheat Flour, 1, Table Salt, 1, Mineral Water, 1, null, null, null, null, null, null, Fire Shard, 1, null, null),
(39, 14, 10, null, ../../assets/recipe-icons/culinarian/rabbit-pie.png, Rabbit Pie, 3, Pie Dough, 1, Coerthan Carrot, 1, Marmot Meat, 1, Wild Onion, 1, Black Pepper, 1, null, null, Fire Shard, 1, Water Shard, 1),
(40, 15, 9, null, ../../assets/recipe-icons/culinarian/salt-cod.png, Salt Cod, 3, Tiger Cod, 1, Table Salt, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(41, 15, 15, null, ../../assets/recipe-icons/culinarian/grilled-carp.png, Grilled Carp, 3, Maiden Carp, 1, Table Salt, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(42, 16, null, null, ../../assets/recipe-icons/culinarian/cider-vinegar.png, Cider Vinegar, 5, Faerie Apple, 1, Mineral Water, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(43, 16, null, null, ../../assets/recipe-icons/culinarian/lavender-oil.png, Lavender Oil, 3, Lavender, 4, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(44, 16, 15, null, ../../assets/recipe-icons/culinarian/dodo-omelette.png, Dodo Omelette, 3, Dodo Egg, 1, Smooth Butter, 1, Aldgoat Milk, 1, Table Salt, 1, Tomato Sauce, 1, Highland Parsley, 1, Fire Shard, 1, Water Shard, 1),
(45, 16, 15, null, ../../assets/recipe-icons/culinarian/meat-miq'abob.png, Meat Miq'abob, 3, Dodo Tenderloin, 1, Paprika, 1, Ruby Tomato, 1, Table Salt, 1, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(46, 17, null, null, ../../assets/recipe-icons/culinarian/cottage-cheese.png, Cottage Cheese, 3, Aldgoat Milk, 1, Cider Vinegar, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(47, 17, 16, null, ../../assets/recipe-icons/culinarian/lentils-and-chestnuts.png, Lentils and Chestnuts, 3, Gridanian Chestnut, 1, Lalafellin Lentil, 1, Galago Mint, 1, Olive Oil, 1, Sour Red, 1, Black Pepper, 1, Fire Shard, 1, Water Shard, 1),
(48, 17, 16, null, ../../assets/recipe-icons/culinarian/roasted-nopales.png, Roasted Nopales, 3, Nopales, 1, Table Salt, 1, Blue Cheese, 1, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(49, 17, 17, null, ../../assets/recipe-icons/culinarian/stone-soup.png, Stone Soup, 3, Ragstone, 1, Mineral Water, 1, Coerthan Carrot, 1, Table Salt, 1, Popoto, 1, null, null, Fire Shard, 1, Water Shard, 1),
(50, 18, 17, null, ../../assets/recipe-icons/culinarian/apple-tart.png, Apple Tart, 3, Pie Dough, 1, Faerie Apple, 1, Chicken Egg, 1, Cinnamon, 1, Maple Sugar, 1, Smooth Butter, 1, Fire Shard, 1, Water Shard, 1),
(51, 18, 17, null, ../../assets/recipe-icons/culinarian/walnut-bread.png, Walnut Bread, 3, Sunset Wheat Flour, 1, Buffalo Milk, 1, Table Salt, 1, Smooth Butter, 1, Gridanian Walnut, 1, null, null, Fire Shard, 1, Water Shard, 1),
(52, 19, 17, null, ../../assets/recipe-icons/culinarian/raw-oyster.png, Raw Oyster, 3, Rothlyt Oyster, 1, Sun Lemon, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(53, 20, 20, null, ../../assets/recipe-icons/culinarian/crab-ball.png, Crab Ball, 10, Helmet Crab, 3, Rye Flour, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(54, 20, 19, null, ../../assets/recipe-icons/culinarian/chicken-and-mushrooms.png, Chicken and Mushrooms, 3, Gil Bun, 1, Chicken Breast, 1, Smooth Butter, 1, Table Salt, 1, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(55, 20, 20, null, ../../assets/recipe-icons/culinarian/antelope-stew.png, Antelope Stew, 3, Antelope Shank, 1, Sunset Wheat Flour, 1, Wild Onion, 1, Coerthan Carrot, 1, Popoto, 1, null, null, Fire Shard, 1, Water Shard, 1),
(56, 20, 20, null, ../../assets/recipe-icons/culinarian/grilled-warmwater-trout.png, Grilled Warmwater Trout, 3, Warmwater Trout, 1, Table Salt, 1, Garlean Garlic, 1, null, null, null, null, null, null, Fire Shard, 1, Water Shard, 1),
(57, 21, 18, null, ../../assets/recipe-icons/culinarian/mashed-popotoes.png, Mashed Popotoes, 3, Cottage Cheese, 1, Popoto, 1, Smooth Butter, 1, Sweet Cream, 1, Garlean Garlic, 1, null, null, Fire Shard, 2, Water Shard, 1),
(58, 21, 20, null, ../../assets/recipe-icons/culinarian/antelope-steak.png, Antelope Steak, 3, Antelope Shank, 1, Table Salt, 1, Garlean Garlic, 1, null, null, null, null, null, null, Fire Shard, 2, Water Shard, 1),
(59, 21, 20, null, ../../assets/recipe-icons/culinarian/grape-juice.png, Grape Juice, 3, Noble Grapes, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 2, Water Shard, 1),
(60, 21, 21, null, ../../assets/recipe-icons/culinarian/honey-muffin.png, Honey Muffin, 3, Sunset Wheat Flour, 1, Chicken Egg, 1, Honey, 1, Smooth Butter, 1, Aldgoat Milk, 1, Mineral Water, 1, Fire Shard, 2, Water Shard, 1),
(61, 22, 21, null, ../../assets/recipe-icons/culinarian/dried-plums.png, Dried Plums, 3, Pixie Plums, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 2, Water Shard, 1),
(62, 22, 22, null, ../../assets/recipe-icons/culinarian/spinach-saute.png, Spinach Saute, 3, Cieldalaes Spinach, 3, Button Mushroom, 1, Table Salt, 1, Smooth Butter, 1, Mineral Water, 1, null, null, Fire Shard, 2, Water Shard, 1),
(63, 22, 22, null, ../../assets/recipe-icons/culinarian/mustard-eggs.png, Mustard Eggs, 3, Dodo Egg, 1, Ala Mhigan Mustard, 1, Mineral Water, 1, Table Salt, 1, null, null, null, null, Fire Shard, 2, Water Shard, 1),
(64, 23, 22, null, ../../assets/recipe-icons/culinarian/shepherd's-pie.png, Shepherd's Pie, 3, Popoto, 1, Antelope Shank, 1, Wild Onion, 1, Smooth Butter, 1, Coerthan Carrot, 1, Black Pepper, 1, Fire Shard, 2, Water Shard, 1),
(65, 23, 23, null, ../../assets/recipe-icons/culinarian/salmon-meuniere.png, Salmon Meuniere, 3, Bluebell Salmon, 1, Smooth Butter, 1, Sun Lemon, 1, Sunset Wheat Flour, 1, Highland Parsley, 1, null, null, Fire Shard, 2, Water Shard, 1),
(66, 23, 23, null, ../../assets/recipe-icons/culinarian/dark-pretzel.png, Dark Pretzel, 3, Sunset Wheat Flour, 1, Maple Sugar, 1, Chicken Egg, 1, Table Salt, 1, Smooth Butter, 1, Mineral Water, 1, Fire Shard, 2, Water Shard, 1),
(67, 24, 24, null, ../../assets/recipe-icons/culinarian/chamomile-tea.png, Chamomile Tea, 3, Chamomile, 1, Honey, 1, Mineral Water, 1, null, null, null, null, null, null, Fire Shard, 2, Water Shard, 2),
(68, 25, 25, null, ../../assets/recipe-icons/culinarian/bass-ball.png, Bass Ball, 10, Dark Bass, 3, Sunset Wheat Flour, 1, null, null, null, null, null, null, null, null, Fire Shard, 2, Water Shard, 2),
(69, 25, 25, null, ../../assets/recipe-icons/culinarian/eel-pie.png, Eel Pie, 3, Pie Dough, 1, Black Eel, 1, Smooth Butter, 1, Popoto, 1, Black Pepper, 1, Cloves, 1, Fire Shard, 2, Water Shard, 2),
(70, 26, 25, null, ../../assets/recipe-icons/culinarian/ginger-cookie.png, Ginger Cookie, 3, Sunset Wheat Flour, 1, Maple Sugar, 1, Chicken Egg, 1, Natron, 1, Pearl Ginger, 1, Smooth Butter, 1, Fire Shard, 2, Water Shard, 2),
(71, 26, 26, null, ../../assets/recipe-icons/culinarian/pea-soup.png, Pea Soup, 3, Jade Peas, 1, Mineral Water, 1, Wild Onion, 1, Table Salt, 1, Dodo Tenderloin, 1, null, null, Fire Shard, 2, Water Shard, 2),
(72, 26, 27, null, ../../assets/recipe-icons/culinarian/aldgoat-steak.png, Aldgoat Steak, 3, Aldgoat Chuck, 1, Table Salt, 1, Garlean Garlic, 1, null, null, null, null, null, null, Fire Shard, 2, Water Shard, 2),
(73, 27, 27, null, ../../assets/recipe-icons/culinarian/cheese-risotto.png, Cheese Risotto, 3, Sticky Rice, 1, Cottage Cheese, 1, Alpine Parsnip, 1, Wild Onion, 1, null, null, null, null, Fire Shard, 3, Water Shard, 2),
(74, 27, 27, null, ../../assets/recipe-icons/culinarian/fried-egg.png, Fried Egg, 3, Puk Egg, 1, Smooth Butter, 1, Table Salt, 1, Mineral Water, 1, null, null, null, null, Fire Shard, 3, Water Shard, 2),
(75, 27, 27, null, ../../assets/recipe-icons/culinarian/boiled-bream.png, Boiled Bream, 3, Bianaq Bream, 1, Olive Oil, 1, Garlean Garlic, 1, Wizard Eggplant, 1, Wild Onion, 1, Midland Cabbage, 1, Fire Shard, 3, Water Shard, 2),
(76, 28, null, null, ../../assets/recipe-icons/culinarian/chicken-stock.png, Chicken Stock, 6, Chicken Breast, 1, Wild Onion, 1, Coerthan Carrot, 1, null, null, null, null, null, null, Fire Shard, 3, null, null),
(77, 28, 28, null, ../../assets/recipe-icons/culinarian/orobon-stew.png, Orobon Stew, 3, Orobon Liver, 1, Coerthan Carrot, 1, Sunset Wheat Flour, 1, Black Pepper, 1, Chicken Stock, 1, Sweet Cream, 1, Fire Shard, 3, Water Shard, 2),
(78, 28, 28, null, ../../assets/recipe-icons/culinarian/crumpet.png, Crumpet, 3, Sunset Wheat Flour, 1, Buffalo Milk, 1, Table Salt, 1, Natron, 1, Maple Syrup, 1, Smooth Butter, 1, Fire Shard, 3, Water Shard, 2),
(79, 29, null, null, ../../assets/recipe-icons/culinarian/cornmeal.png, Cornmeal, 4, Millioncorn, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 3, null, null),
(80, 30, 29, null, ../../assets/recipe-icons/culinarian/baked-sole.png, Baked Sole, 3, Black Sole, 1, Gil Bun, 1, Cieldalaes Spinach, 1, Table Salt, 1, null, null, null, null, Fire Shard, 3, Water Shard, 3),
(81, 30, null, null, ../../assets/recipe-icons/culinarian/grade-1-feed---speed-blend.png, Grade 1 Feed - Speed Blend, 3, Little Worm, 2, Yafaem Wildgrass, 2, Sylkis Bud, 1, Gysahl Greens, 1, null, null, null, null, Fire Shard, 3, Water Shard, 3),
(82, 30, null, null, ../../assets/recipe-icons/culinarian/grade-1-feed---acceleration-blend.png, Grade 1 Feed - Acceleration Blend, 3, Little Worm, 2, Yafaem Wildgrass, 2, Pahsana Fruit, 1, Gysahl Greens, 1, null, null, null, null, Fire Shard, 3, Water Shard, 3),
(83, 30, null, null, ../../assets/recipe-icons/culinarian/grade-1-feed---endurance-blend.png, Grade 1 Feed - Endurance Blend, 3, Little Worm, 2, Yafaem Wildgrass, 2, Tantalplant, 1, Gysahl Greens, 1, null, null, null, null, Fire Shard, 3, Water Shard, 3),
(84, 30, null, null, ../../assets/recipe-icons/culinarian/grade-1-feed---stamina-blend.png, Grade 1 Feed - Stamina Blend, 3, Little Worm, 2, Yafaem Wildgrass, 2, Mimett Gourd, 1, Gysahl Greens, 1, null, null, null, null, Fire Shard, 3, Water Shard, 3),
(85, 30, null, null, ../../assets/recipe-icons/culinarian/grade-1-feed---balance-blend.png, Grade 1 Feed - Balance Blend, 3, Little Worm, 2, Yafaem Wildgrass, 2, Curiel Root, 1, Gysahl Greens, 1, null, null, null, null, Fire Shard, 3, Water Shard, 3),
(86, 31, null, null, ../../assets/recipe-icons/culinarian/dark-vinegar.png, Dark Vinegar, 3, Noble Grapes, 4, null, null, null, null, null, null, null, null, null, null, Fire Shard, 3, null, null),
(87, 31, 30, null, ../../assets/recipe-icons/culinarian/alligator-salad.png, Alligator Salad, 3, Alligator Pear, 1, Paprika, 1, Table Salt, 1, Dark Vinegar, 1, Olive Oil, 1, Blue Cheese, 1, Fire Shard, 3, Water Shard, 3),
(88, 31, 30, null, ../../assets/recipe-icons/culinarian/cornbread.png, Cornbread, 3, Cornmeal, 1, Sunset Wheat Flour, 1, Olive Oil, 1, Buffalo Milk, 1, Chicken Egg, 1, Mineral Water, 1, Fire Shard, 3, Water Shard, 3),
(89, 32, 30, null, ../../assets/recipe-icons/culinarian/forest-miq'abob.png, Forest Miq'abob, 3, Button Mushroom, 1, Ruby Tomato, 1, Aloe, 1, Lavender Oil, 1, Table Salt, 1, Black Pepper, 1, Fire Shard, 3, Water Shard, 3),
(90, 32, 31, null, ../../assets/recipe-icons/culinarian/smoked-raptor.png, Smoked Raptor, 3, Raptor Shank, 1, Olive Oil, 1, Sun Lemon, 1, Table Salt, 1, Black Pepper, 1, null, null, Fire Shard, 3, Water Shard, 3),
(91, 33, 32, null, ../../assets/recipe-icons/culinarian/blood-currant-tart.png, Blood Currant Tart, 3, Pie Dough, 1, Blood Currants, 1, Smooth Butter, 1, Maple Sugar, 1, Natron, 1, Gelatin, 1, Fire Shard, 4, Water Shard, 3),
(92, 33, 32, null, ../../assets/recipe-icons/culinarian/tuna-miq'abob.png, Tuna Miq'abob, 3, Ash Tuna, 1, Midland Basil, 1, Olive Oil, 1, Sun Lemon, 1, Table Salt, 1, Finger Shrimp, 1, Fire Shard, 4, Water Shard, 3),
(93, 34, 33, null, ../../assets/recipe-icons/culinarian/acorn-cookie.png, Acorn Cookie, 3, Rye Flour, 1, Table Salt, 1, Iron Acorn, 1, Mineral Water, 1, null, null, null, null, Fire Shard, 4, Water Shard, 3),
(94, 34, 33, null, ../../assets/recipe-icons/culinarian/scrambled-eggs.png, Scrambled Eggs, 3, White Truffle, 1, Puk Egg, 1, Cottage Cheese, 1, Table Salt, 1, null, null, null, null, Fire Shard, 4, Water Shard, 3),
(95, 35, 35, null, ../../assets/recipe-icons/culinarian/herring-ball.png, Herring Ball, 10, Indigo Herring, 3, Sunset Wheat Flour, 1, null, null, null, null, null, null, null, null, Fire Shard, 4, Water Shard, 3),
(96, 35, 34, null, ../../assets/recipe-icons/culinarian/cawl-cennin.png, Cawl Cennin, 3, Salt Leek, 1, Chicken Stock, 1, Smooth Butter, 1, Sweet Cream, 1, Wild Onion, 1, Mineral Water, 1, Fire Shard, 4, Water Shard, 3),
(97, 36, null, null, ../../assets/recipe-icons/culinarian/cream-cheese.png, Cream Cheese, 3, Night Milk, 2, Sweet Cream, 1, null, null, null, null, null, null, null, null, Fire Shard, 4, null, null),
(98, 36, 35, null, ../../assets/recipe-icons/culinarian/sauerkraut.png, Sauerkraut, 3, Midland Cabbage, 1, Laurel, 1, Table Salt, 1, Dragon Pepper, 1, Mineral Water, 1, null, null, Fire Shard, 4, Water Shard, 4),
(99, 37, 36, null, ../../assets/recipe-icons/culinarian/cheese-souffle.png, Cheese Souffle, 3, Cream Cheese, 1, Night Milk, 1, Dodo Egg, 1, Maple Syrup, 1, Sun Lemon, 1, null, null, Fire Shard, 4, Water Shard, 4),
(100, 37, 37, null, ../../assets/recipe-icons/culinarian/ratatouille.png, Ratatouille, 3, Wizard Eggplant, 1, Ramhorn Zucchini, 1, Ruby Tomato, 1, Laurel, 1, Lavender Oil, 1, Garlean Garlic, 1, Fire Shard, 4, Water Shard, 4),
(101, 38, 38, null, ../../assets/recipe-icons/culinarian/mugwort-carp.png, Mugwort Carp, 3, Velodyna Carp, 1, Table Salt, 1, Mugwort, 1, null, null, null, null, null, null, Fire Shard, 4, Water Shard, 4),
(102, 38, 38, null, ../../assets/recipe-icons/culinarian/knight's-bread.png, Knight's Bread, 3, Rye Flour, 1, Mineral Water, 1, Honey, 1, Midland Basil, 1, Chicken Egg, 1, null, null, Fire Shard, 4, Water Shard, 4),
(103, 39, 39, null, ../../assets/recipe-icons/culinarian/stuffed-artichoke.png, Stuffed Artichoke, 3, Maiden Artichoke, 1, Megalocrab Leg, 1, Sweet Cream, 1, Black Pepper, 1, Blue Cheese, 1, Knight's Bread, 1, Fire Shard, 5, Water Shard, 4),
(104, 39, 39, null, ../../assets/recipe-icons/culinarian/raptor-stew.png, Raptor Stew, 3, Gil Bun, 1, Chanterelle, 1, Raptor Shank, 1, Sunset Wheat Flour, 1, Table Salt, 1, null, null, Fire Shard, 5, Water Shard, 4),
(105, 40, 40, null, ../../assets/recipe-icons/culinarian/apple-juice.png, Apple Juice, 3, Mirror Apple, 6, null, null, null, null, null, null, null, null, null, null, Fire Shard, 5, Water Shard, 4),
(106, 40, 40, null, ../../assets/recipe-icons/culinarian/pastry-fish.png, Pastry Fish, 3, Pie Dough, 1, Raisins, 1, Desert Saffron, 1, Table Salt, 1, Almonds, 1, Mirror Apple, 1, Fire Shard, 5, Water Shard, 4),
(107, 40, 40, null, ../../assets/recipe-icons/culinarian/grilled-raincaller.png, Grilled Raincaller, 3, Raincaller, 1, Table Salt, 1, null, null, null, null, null, null, null, null, Fire Shard, 5, Water Shard, 4),
(108, 41, 41, null, ../../assets/recipe-icons/culinarian/jerked-beef.png, Jerked Beef, 3, Buffalo Sirloin, 1, Table Salt, 1, Black Pepper, 1, Sagolii Sage, 1, Nutmeg, 1, null, null, Fire Shard, 5, Water Shard, 4),
(109, 42, 42, null, ../../assets/recipe-icons/culinarian/salt-cod-puffs.png, Salt Cod Puffs, 3, Salt Cod, 1, Thyme, 1, Apkallu Egg, 1, Clove Oil, 1, Sunset Wheat Flour, 1, Nutmeg, 1, Fire Shard, 5, Water Shard, 5),
(110, 43, null, null, ../../assets/recipe-icons/culinarian/rolanberry-cheese.png, Rolanberry Cheese, 3, Night Milk, 2, Rolanberry, 1, null, null, null, null, null, null, null, null, Fire Shard, 5, null, null),
(111, 43, 43, null, ../../assets/recipe-icons/culinarian/fish-soup.png, Fish Soup, 3, Bianaq Bream, 1, Ruby Tomato, 1, Highland Parsley, 1, Wild Onion, 1, Smooth Butter, 1, Nutmeg, 1, Fire Shard, 5, Water Shard, 5),
(112, 44, 44, null, ../../assets/recipe-icons/culinarian/button-mushroom-saute.png, Button Mushroom Saute, 3, Olive Oil, 1, Garlean Garlic, 1, Button Mushroom, 3, Table Salt, 1, Sagolii Sage, 1, null, null, Fire Shard, 5, Water Shard, 5),
(113, 44, 55, null, ../../assets/recipe-icons/culinarian/dzemael-gratin.png, Dzemael Gratin, 3, Popoto, 1, Garlean Garlic, 1, Black Pepper, 1, Nutmeg, 1, Sweet Cream, 1, Eft Tail, 1, Fire Shard, 5, Water Shard, 5),
(114, 45, 45, null, ../../assets/recipe-icons/culinarian/stuffed-cabbage.png, Stuffed Cabbage, 3, Midland Cabbage, 1, Northern Pike, 1, Gelatin, 1, Coerthan Carrot, 1, Salt Leek, 1, Clove Oil, 1, Fire Shard, 6, Water Shard, 5),
(115, 45, 46, null, ../../assets/recipe-icons/culinarian/rolanberry-lassi.png, Rolanberry Lassi, 3, Night Milk, 2, Rolanberry, 2, null, null, null, null, null, null, null, null, Fire Shard, 6, Water Shard, 5),
(116, 45, 47, null, ../../assets/recipe-icons/culinarian/la-noscean-toast.png, La Noscean Toast, 3, Walnut Bread, 1, Buffalo Milk, 1, Apkallu Egg, 1, Smooth Butter, 1, Maple Syrup, 1, Olive Oil, 1, Fire Shard, 6, Water Shard, 5),
(117, 46, 48, null, ../../assets/recipe-icons/culinarian/deviled-eggs.png, Deviled Eggs, 3, Apkallu Egg, 1, Fullmoon Sardine, 1, Highland Parsley, 1, Paprika, 1, Ala Mhigan Mustard, 1, Sun Lemon, 1, Fire Shard, 6, Water Shard, 5),
