(2, 1, 1, null, null, ../../assets/recipe-icons/armorer/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 18, 12, 15, null, ../../assets/recipe-icons/armorer/bronze-celata.png, Bronze Celata, 1, Bronze Plate, 2, Bronze Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 19, 12, 15, null, ../../assets/recipe-icons/armorer/bronze-cuirass.png, Bronze Cuirass, 1, Bronze Plate, 2, Bronze Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 20, 13, null, null, ../../assets/recipe-icons/armorer/iron-ingot.png, Iron Ingot, 1, Iron Ore, 3, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 21, 13, 15, null, ../../assets/recipe-icons/armorer/bronze-sabatons.png, Bronze Sabatons, 1, Bronze Plate, 2, Bronze Rings, 1, Hard Leather, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 22, 14, null, null, ../../assets/recipe-icons/armorer/iron-plate.png, Iron Plate, 1, Iron Ingot, 2, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 23, 14, null, null, ../../assets/recipe-icons/armorer/iron-rivets.png, Iron Rivets, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 24, 14, 15, null, ../../assets/recipe-icons/armorer/bronze-gauntlets.png, Bronze Gauntlets, 1, Bronze Plate, 2, Iron Rivets, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 25, 15, null, null, ../../assets/recipe-icons/armorer/iron-rings.png, Iron Rings, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 26, 15, null, null, ../../assets/recipe-icons/armorer/iron-joint-plate.png, Iron Joint Plate, 1, Iron Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 1, null, null),
(2, 27, 15, 15, null, ../../assets/recipe-icons/armorer/brass-alembic.png, Brass Alembic, 1, Amateur's Alembic, 1, Bronze Rivets, 1, Brass Ingot, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 28, 15, 15, null, ../../assets/recipe-icons/armorer/iron-skillet.png, Iron Skillet, 1, Iron Plate, 1, Ash Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 29, 15, 14, null, ../../assets/recipe-icons/armorer/bronze-buckler.png, Bronze Buckler, 1, Bronze Plate, 1, Bronze Ingot, 1, Iron Rivets, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 30, 16, 17, null, ../../assets/recipe-icons/armorer/decorated-bronze-barbut.png, Decorated Bronze Barbut, 1, Bronze Barbut, 1, Copper Ingot, 1, Brass Ingot, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 31, 16, 17, null, ../../assets/recipe-icons/armorer/decorated-bronze-mitt-gauntlets.png, Decorated Bronze Mitt Gauntlets, 1, Bronze Mitt Gauntlets, 1, Bronze Rivets, 1, Leather, 1, Brass Ingot, 1, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 32, 17, 18, null, ../../assets/recipe-icons/armorer/iron-hoplon.png, Iron Hoplon, 1, Iron Plate, 2, Elm Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 33, 18, 19, null, ../../assets/recipe-icons/armorer/initiate's-alembic.png, Initiate's Alembic, 1, Iron Plate, 1, Bronze Rivets, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 34, 18, 19, null, ../../assets/recipe-icons/armorer/initiate's-skillet.png, Initiate's Skillet, 1, Iron Plate, 1, Elm Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 35, 19, 20, null, ../../assets/recipe-icons/armorer/iron-sallet.png, Iron Sallet, 1, Iron Plate, 1, Iron Ingot, 1, Iron Rivets, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 36, 19, 20, null, ../../assets/recipe-icons/armorer/iron-plate-belt.png, Iron Plate Belt, 1, Iron Plate, 2, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 37, 19, 20, null, ../../assets/recipe-icons/armorer/iron-sabatons.png, Iron Sabatons, 1, Iron Plate, 2, Bronze Rings, 1, Hard Leather, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 38, 20, 21, null, ../../assets/recipe-icons/armorer/ironclad-bronze-buckler.png, Ironclad Bronze Buckler, 1, Bronze Buckler, 1, Bronze Ingot, 1, Iron Rivets, 1, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 39, 20, 20, null, ../../assets/recipe-icons/armorer/iron-celata.png, Iron Celata, 1, Iron Plate, 2, Iron Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 40, 20, 20, null, ../../assets/recipe-icons/armorer/iron-cuirass.png, Iron Cuirass, 1, Iron Plate, 2, Iron Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 41, 20, 20, null, ../../assets/recipe-icons/armorer/iron-gauntlets.png, Iron Gauntlets, 1, Iron Plate, 2, Iron Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 1, Earth Shard, 1),
(2, 42, 21, 21, null, ../../assets/recipe-icons/armorer/iron-lantern-shield.png, Iron Lantern Shield, 1, Iron Plate, 2, Tallow Candle, 1, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 43, 21, 19, null, ../../assets/recipe-icons/armorer/iron-vambraces.png, Iron Vambraces, 1, Iron Plate, 1, Aldgoat Leather, 2, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 44, 22, 23, null, ../../assets/recipe-icons/armorer/iron-elmo.png, Iron Elmo, 1, Iron Plate, 2, Iron Rivets, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 45, 22, 23, null, ../../assets/recipe-icons/armorer/iron-headgear.png, Iron Headgear, 1, Iron Plate, 2, Iron Rivets, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 46, 22, 23, null, ../../assets/recipe-icons/armorer/iron-plated-jackboots.png, Iron-plated Jackboots, 1, Iron Ingot, 1, Aldgoat Leather, 1, Beast Sinew, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 47, 23, 23, null, ../../assets/recipe-icons/armorer/iron-alembic.png, Iron Alembic, 1, Iron Plate, 1, Iron Rivets, 1, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 48, 23, 23, null, ../../assets/recipe-icons/armorer/iron-frypan.png, Iron Frypan, 1, Iron Plate, 1, Yew Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 49, 23, 23, null, ../../assets/recipe-icons/armorer/iron-scale-mail.png, Iron Scale Mail, 1, Iron Plate, 1, Aldgoat Leather, 2, Silver Ingot, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 50, 23, 23, null, ../../assets/recipe-icons/armorer/iron-scale-fingers.png, Iron Scale Fingers, 1, Iron Plate, 1, Iron Ingot, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 51, 23, 23, null, ../../assets/recipe-icons/armorer/iron-scale-greaves.png, Iron Scale Greaves, 1, Iron Plate, 2, Iron Ingot, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 1),
(2, 52, 24, 23, null, ../../assets/recipe-icons/armorer/iron-scutum.png, Iron Scutum, 1, Iron Plate, 2, Iron Rivets, 3, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 2),
(2, 53, 24, 23, null, ../../assets/recipe-icons/armorer/reinforced-iron-sallet.png, Reinforced Iron Sallet, 1, Iron Sallet, 1, Iron Rivets, 1, Brass Ingot, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 2),
(2, 54, 24, 25, null, ../../assets/recipe-icons/armorer/reinforced-iron-plate-belt.png, Reinforced Iron Plate Belt, 1, Iron Plate, 3, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 2),
(2, 55, 25, 25, null, ../../assets/recipe-icons/armorer/heavy-iron-armor.png, Heavy Iron Armor, 1, Iron Plate, 4, Brass Ingot, 1, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 2),
(2, 56, 25, 25, null, ../../assets/recipe-icons/armorer/heavy-iron-gauntlets.png, Heavy Iron Gauntlets, 1, Iron Plate, 3, Iron Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 2),
(2, 57, 25, 25, null, ../../assets/recipe-icons/armorer/heavy-iron-flanchard.png, Heavy Iron Flanchard, 1, Iron Ingot, 3, Iron Rings, 2, Aldgoat Leather, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 2),
(2, 58, 26, null, null, ../../assets/recipe-icons/armorer/steel-ingot.png, Steel Ingot, 1, Bomb Ash, 1, Iron Ore, 2, null, null, null, null, null, null, null, null, Ice Shard, 2, null, null),
(2, 59, 26, null, null, ../../assets/recipe-icons/armorer/steel-hinge.png, Steel Hinge, 1, Steel Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 2, null, null),
(2, 60, 26, 28, null, ../../assets/recipe-icons/armorer/conical-alembic.png, Conical Alembic, 1, Iron Alembic, 1, Iron Rivets, 1, Brass Ingot, 1, null, null, null, null, null, null, Ice Shard, 2, Earth Shard, 2),
(2, 61, 27, null, null, ../../assets/recipe-icons/armorer/steel-plate.png, Steel Plate, 1, Steel Ingot, 2, null, null, null, null, null, null, null, null, null, null, Ice Shard, 3, null, null),
(2, 62, 27, null, null, ../../assets/recipe-icons/armorer/steel-rivets.png, Steel Rivets, 1, Steel Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 3, null, null),
(2, 63, 27, null, null, ../../assets/recipe-icons/armorer/steel-joint-plate.png, Steel Joint Plate, 1, Steel Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 3, null, null),
(2, 64, 27, 28, null, ../../assets/recipe-icons/armorer/bomb-frypan.png, Bomb Frypan, 1, Steel Plate, 1, Yew Lumber, 1, Bomb Ash, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 2),
(2, 65, 27, 27, null, ../../assets/recipe-icons/armorer/iron-kite-shield.png, Iron Kite Shield, 1, Iron Plate, 3, Iron Rivets, 1, null, null, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 2),
(2, 66, 28, null, null, ../../assets/recipe-icons/armorer/steel-rings.png, Steel Rings, 1, Steel Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 3, null, null),
(2, 67, 28, 28, null, ../../assets/recipe-icons/armorer/steel-chainmail.png, Steel Chainmail, 1, Steel Rings, 3, Undyed Velveteen, 1, null, null, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 2),
(2, 68, 28, 28, null, ../../assets/recipe-icons/armorer/steel-tassets.png, Steel Tassets, 1, Steel Plate, 2, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 2),
(2, 69, 29, 31, null, ../../assets/recipe-icons/armorer/steel-alembic.png, Steel Alembic, 1, Steel Plate, 1, Steel Rivets, 1, null, null, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 2),
(2, 70, 29, 31, null, ../../assets/recipe-icons/armorer/steel-skillet.png, Steel Skillet, 1, Steel Plate, 1, Elm Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 2),
(2, 71, 29, 30, null, ../../assets/recipe-icons/armorer/steel-sallet.png, Steel Sallet, 1, Iron Plate, 1, Steel Ingot, 1, Steel Rivets, 1, Steel Plate, 1, null, null, null, null, Ice Shard, 3, Earth Shard, 2),
(2, 72, 30, 30, null, ../../assets/recipe-icons/armorer/steel-celata.png, Steel Celata, 1, Steel Plate, 2, Iron Rings, 1, Brass Ingot, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 73, 30, 30, null, ../../assets/recipe-icons/armorer/steel-cuirass.png, Steel Cuirass, 1, Steel Plate, 2, Iron Rings, 1, Brass Ingot, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 74, 30, 30, null, ../../assets/recipe-icons/armorer/steel-gauntlets.png, Steel Gauntlets, 1, Steel Plate, 2, Steel Rings, 1, Toad Leather, 1, Brass Ingot, 1, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 75, 30, 30, null, ../../assets/recipe-icons/armorer/steel-sabatons.png, Steel Sabatons, 1, Steel Plate, 2, Steel Rings, 1, Toad Leather, 1, Brass Ingot, 1, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 76, 30, 32, null, ../../assets/recipe-icons/armorer/steel-plated-jackboots.png, Steel-plated Jackboots, 1, Steel Plate, 1, Aldgoat Leather, 1, Diremite Sinew, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 77, 31, 31, null, ../../assets/recipe-icons/armorer/bull-hoplon.png, Bull Hoplon, 1, Steel Plate, 1, Steel Ingot, 2, Walnut Lumber, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 78, 31, 32, null, ../../assets/recipe-icons/armorer/steel-elmo.png, Steel Elmo, 1, Steel Plate, 2, Steel Rivets, 1, Toad Leather, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 79, 31, 28, null, ../../assets/recipe-icons/armorer/steel-vambraces.png, Steel Vambraces, 1, Steel Plate, 1, Aldgoat Leather, 2, null, null, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 80, 31, 30, null, ../../assets/recipe-icons/armorer/steel-plate-belt.png, Steel Plate Belt, 1, Steel Plate, 2, Boar Leather, 1, null, null, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 81, 32, 32, null, ../../assets/recipe-icons/armorer/steel-headgear.png, Steel Headgear, 1, Steel Plate, 2, Steel Rivets, 1, Toad Leather, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 82, 32, 32, null, ../../assets/recipe-icons/armorer/steel-scale-mail.png, Steel Scale Mail, 1, Steel Plate, 1, Aldgoat Leather, 2, Silver Ingot, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 83, 32, 32, null, ../../assets/recipe-icons/armorer/steel-scale-fingers.png, Steel Scale Fingers, 1, Steel Plate, 1, Steel Ingot, 1, Toad Leather, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 84, 32, 32, null, ../../assets/recipe-icons/armorer/steel-scale-greaves.png, Steel Scale Greaves, 1, Steel Plate, 2, Steel Ingot, 1, Aldgoat Leather, 1, null, null, null, null, null, null, Ice Shard, 3, Earth Shard, 3),
(2, 85, 33, 34, null, ../../assets/recipe-icons/armorer/white-skillet.png, White Skillet, 1, Steel Plate, 1, Walnut Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 86, 33, 34, null, ../../assets/recipe-icons/armorer/decorated-buckler.png, Decorated Buckler, 1, Bronze Buckler, 1, Silver Ingot, 1, Iron Rivets, 1, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 87, 34, 34, null, ../../assets/recipe-icons/armorer/silver-alembic.png, Silver Alembic, 1, Steel Plate, 1, Steel Rivets, 1, Silver Ingot, 1, Eye of Fire, 1, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 88, 34, 36, null, ../../assets/recipe-icons/armorer/decorated-iron-scutum.png, Decorated Iron Scutum, 1, Iron Scutum, 1, Iron Rivets, 2, Toad Leather, 1, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 89, 34, 35, null, ../../assets/recipe-icons/armorer/heavy-steel-armor.png, Heavy Steel Armor, 1, Steel Plate, 4, Brass Ingot, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 90, 34, 35, null, ../../assets/recipe-icons/armorer/heavy-steel-gauntlets.png, Heavy Steel Gauntlets, 1, Steel Plate, 3, Steel Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 91, 34, 35, null, ../../assets/recipe-icons/armorer/reinforced-steel-plate-belt.png, Reinforced Steel Plate Belt, 1, Steel Plate, 3, Aldgoat Leather, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 92, 35, 37, null, ../../assets/recipe-icons/armorer/steel-barbut.png, Steel Barbut, 1, Iron Plate, 1, Steel Plate, 1, Steel Rivets, 1, Steel Ingot, 1, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 93, 35, 35, null, ../../assets/recipe-icons/armorer/altered-heavy-steel-armor.png, Altered Heavy Steel Armor, 1, Steel Plate, 4, Brass Ingot, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 94, 35, 37, null, ../../assets/recipe-icons/armorer/steel-mitt-gauntlets.png, Steel Mitt Gauntlets, 1, Iron Plate, 1, Steel Plate, 1, Steel Rivets, 1, Boar Leather, 1, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 95, 35, 35, null, ../../assets/recipe-icons/armorer/heavy-steel-flanchard.png, Heavy Steel Flanchard, 1, Steel Ingot, 3, Steel Rings, 2, Boar Leather, 1, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 96, 35, 37, null, ../../assets/recipe-icons/armorer/steel-plated-caligae.png, Steel-plated Caligae, 1, Boar Leather, 1, Steel Plate, 1, Steel Rivets, 1, Animal Sinew, 1, null, null, null, null, Ice Shard, 4, Earth Shard, 3),
(2, 97, 35, 38, null, ../../assets/recipe-icons/armorer/vintage-hoplon.png, Vintage Hoplon, 1, Tarnished Hoplon, 1, Bronze Plate, 1, null, null, null, null, null, null, null, null, Ice Crystal, 1, null, null),
(2, 98, 36, null, null, ../../assets/recipe-icons/armorer/mythril-ingot.png, Mythril Ingot, 1, Mythril Ore, 3, null, null, null, null, null, null, null, null, null, null, Ice Shard, 4, null, null),
(2, 99, 36, 39, null, ../../assets/recipe-icons/armorer/steel-frypan.png, Steel Frypan, 1, Steel Plate, 1, Oak Lumber, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 4),
(2, 100, 37, null, null, ../../assets/recipe-icons/armorer/mythril-rings.png, Mythril Rings, 1, Mythril Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 4, null, null),
(2, 101, 37, null, null, ../../assets/recipe-icons/armorer/mythril-rivets.png, Mythril Rivets, 1, Mythril Ingot, 1, null, null, null, null, null, null, null, null, null, null, Ice Shard, 4, null, null),
(2, 102, 37, 39, null, ../../assets/recipe-icons/armorer/bladed-lantern-shield.png, Bladed Lantern Shield, 1, Steel Plate, 1, Steel Rivets, 1, Iron Ingot, 2, Tallow Candle, 1, null, null, null, null, Ice Shard, 4, Earth Shard, 4),
(2, 103, 37, 38, null, ../../assets/recipe-icons/armorer/horn-scale-greaves.png, Horn Scale Greaves, 1, Antelope Horn, 1, Steel Plate, 2, Steel Ingot, 1, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 4),
(2, 104, 38, null, null, ../../assets/recipe-icons/armorer/mythril-plate.png, Mythril Plate, 1, Mythril Ingot, 2, null, null, null, null, null, null, null, null, null, null, Ice Shard, 4, null, null),
(2, 105, 38, 40, null, ../../assets/recipe-icons/armorer/mythril-celata.png, Mythril Celata, 1, Mythril Plate, 2, Mythril Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 4),
(2, 106, 38, 38, null, ../../assets/recipe-icons/armorer/horn-scale-fingers.png, Horn Scale Fingers, 1, Antelope Horn, 2, Steel Plate, 2, Boar Leather, 1, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 4),
(2, 107, 38, 40, null, ../../assets/recipe-icons/armorer/mythril-plate-belt.png, Mythril Plate Belt, 1, Mythril Plate, 2, Peiste Leather, 1, null, null, null, null, null, null, null, null, Ice Shard, 4, Earth Shard, 4),
(2, 108, 38, 41, null, ../../assets/recipe-icons/armorer/vintage-celata.png, Vintage Celata, 1, Dented Celata, 1, Bronze Plate, 1, null, null, null, null, null, null, null, null, Ice Crystal, 1, null, null),
(2, 109, 39, 40, null, ../../assets/recipe-icons/armorer/mythril-cuirass.png, Mythril Cuirass, 1, Mythril Plate, 2, Mythril Rings, 1, Electrum Ingot, 1, null, null, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 110, 39, 40, null, ../../assets/recipe-icons/armorer/mythril-gauntlets.png, Mythril Gauntlets, 1, Mythril Plate, 2, Mythril Rings, 1, null, null, null, null, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 111, 39, 40, null, ../../assets/recipe-icons/armorer/mythril-sabatons.png, Mythril Sabatons, 1, Mythril Plate, 2, Mythril Rings, 1, Boar Leather, 1, null, null, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 112, 40, 39, null, ../../assets/recipe-icons/armorer/mythril-alembic.png, Mythril Alembic, 1, Mythril Plate, 1, Mythril Rivets, 1, Steel Ingot, 1, Eye of Earth, 1, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 113, 40, 38, null, ../../assets/recipe-icons/armorer/mythril-elmo.png, Mythril Elmo, 1, Mythril Plate, 2, Mythril Rivets, 1, Boar Leather, 1, null, null, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 114, 40, 38, null, ../../assets/recipe-icons/armorer/altered-mythril-elmo.png, Altered Mythril Elmo, 1, Mythril Plate, 2, Mythril Rivets, 1, Boar Leather, 1, null, null, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 115, 40, 38, null, ../../assets/recipe-icons/armorer/horn-scale-mail.png, Horn Scale Mail, 1, Aldgoat Horn, 1, Boar Leather, 2, Steel Ingot, 1, null, null, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 116, 40, 43, null, ../../assets/recipe-icons/armorer/vintage-scutum.png, Vintage Scutum, 1, Rusting Scutum, 1, Iron Plate, 1, null, null, null, null, null, null, null, null, Earth Crystal, 1, null, null),
(2, 117, 41, 42, null, ../../assets/recipe-icons/armorer/mythril-barbut.png, Mythril Barbut, 1, Steel Plate, 1, Mythril Plate, 1, Mythril Rivets, 1, Mythril Ingot, 1, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 118, 41, 39, null, ../../assets/recipe-icons/armorer/mythril-vambraces.png, Mythril Vambraces, 1, Mythril Plate, 1, Boar Leather, 1, Peiste Leather, 1, null, null, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 119, 41, 41, null, ../../assets/recipe-icons/armorer/mythril-plated-jackboots.png, Mythril-plated Jackboots, 1, Mythril Plate, 1, Boar Leather, 1, Mythril Ingot, 1, Hippogryph Sinew, 1, null, null, null, null, Ice Shard, 5, Earth Shard, 4),
(2, 120, 41, 44, null, ../../assets/recipe-icons/armorer/vintage-scale-mail.png, Vintage Scale Mail, 1, Blackened Scale Mail, 1, Iron Plate, 1, null, null, null, null, null, null, null, null, Ice Crystal, 1, null, null),
